27_86_beat1,27_86_beat2,27_86_beat3,27_27_beat4,27_75_beat5,27_63_beat6,27_82_beat7,27_82_beat8,27_82_beat9,27_79_beat10,27_79_beat11,27_79_beat12,27_90_beat13,27_90_beat14,27_90_beat15,27_80_beat16,27_13_beat17,27_13_beat18,27_23_beat19,27_23_beat20,27_23_beat21,27_83_beat22,27_83_beat23,27_83_beat24,27_83_beat25,27_19_beat1
-0.0951934550513777,-0.0636369460612327,-0.0373005820955833,-0.028114985649784,-0.0239436397184453,-0.0964728957931614,-0.0025221083658881,-0.0097764242618828,-0.0488779306461681,0.006285428859322,0.0088978105913991,-0.0291211413850608,0.0701668826596493,-0.0351304544425077,-0.0032797606227176,-0.061298902484145,-0.0742978423737181,0.081026820821779,-0.015217963162154,-0.0494021234876801,-0.0248115899597995,0.0602329333721686,0.029409578106375,-0.0827392828417817,-0.1392456364076204,
-0.0835922415826275,-0.0526818865497565,-0.0280110698210688,-0.0236691713081268,-0.013403948665556,-0.0891375762094989,0.0075877554732513,0.0008810982201397,-0.0379224746882209,0.0159153448805655,0.0194145881506914,-0.0172760452916843,0.0811720294487649,-0.027240069949425,0.0068375450219711,-0.0494194192199636,-0.0660185729689391,0.083646032292282,-0.0114478129294231,-0.0458226681371226,-0.0199104215268481,0.069381231148355,0.0318681142757886,-0.0798272888545636,-0.1278844921606366,
-0.0724621138839108,-0.0414875801814027,-0.0181619914364099,-0.0191243190663346,-0.0027860931557799,-0.0817170168310372,0.017082709739819,0.0112105574796707,-0.0266642033532205,0.0250877447481186,0.0296210487672703,-0.0052274688309109,0.0912690661666812,-0.0193058810168589,0.0164227349713771,-0.0376082673049637,-0.0564372880506608,0.0867112488160013,-0.0069882755335863,-0.0417200108950081,-0.0149127503111229,0.0794027193261944,0.0355101723162818,-0.0755940355432051,-0.1143773764876165,
-0.0619600016743097,-0.0302471687625611,-0.0079284273852789,-0.0145664571839444,0.0077216348032336,-0.0743201649151483,0.0258214834604253,0.0210374514608674,-0.0153057180014512,0.033644674042534,0.0393278593138141,0.006811682321268,0.1003985440365087,-0.0115044101769659,0.0253299416600147,-0.0260756409449832,-0.0456837039817557,0.0901508566611702,-0.0019087582248358,-0.0371735260428479,-0.0099171439137438,0.0901727291835625,0.0402719225622735,-0.0701166283080839,-0.0988266622089478,
-0.0522212654217615,-0.0191522018050342,0.0025062025234108,-0.0100803738207796,0.0179348861757231,-0.0670623729428364,0.033685785414867,0.0302038753950637,-0.0040488492932961,0.0414460088221511,0.0483601956982667,0.0186306770342059,0.1085247780452994,-0.004003873676468,0.0334352243896489,-0.015022435266191,-0.0339203001068681,0.0938822836490052,0.0037040588318841,-0.0322724367076255,-0.0050198602825374,0.1015386637935682,0.046059999780895,-0.0635014175672483,-0.0813809238067368,
-0.0433567114510227,-0.0083872055365352,0.0129553530041172,-0.0057472069954025,0.0276785482085623,-0.0600616720206367,0.040582872103557,0.0385724854983104,0.0069110289104414,0.0483732357830032,0.0565625098463466,0.0300267782973668,0.115634969874407,0.0030409805202176,0.0406396145904636,-0.0046344689623584,-0.0213380054706388,0.0978141221202895,0.0097485006475122,-0.0271133896061135,-0.0003120751887044,0.1133254814055892,0.0527535729604955,-0.0558816194477755,-0.0622329057723449,
-0.0354504967799692,0.0018754607816305,0.0232346673783428,-0.0016421859012455,0.0367917101986806,-0.053434759322485,0.0464472400410139,0.046029723326469,0.0173904122201272,0.0543324896776525,0.0638026353070562,0.0408107573816067,0.1217376453335635,0.0094934675398647,0.0468711734919717,0.0049227310702653,-0.008150927038116,0.1018485250472154,0.0161107389618728,-0.0217977879443008,0.0041226755717628,0.1253418233040282,0.0602074155605213,-0.0474140421801904,-0.041615942839351,
-0.0285589626911668,0.0114802717755387,0.0331671905533013,0.0021673985463374,0.0451321146329132,-0.0472928826777769,0.051241411100644,0.0524882070216662,0.0272226071135922,0.0592567505053619,0.0699750952603766,0.0508119049956847,0.1268605068155608,0.0152388180139975,0.0520860170978504,0.0135083966668179,0.0054096842749,0.1058838432623411,0.0226680913455354,-0.0164289757545717,0.0082107490300601,0.1373865289128274,0.0682558771592681,-0.0382750200382255,-0.0197988991829937,
-0.0227103989469402,0.0202925613012612,0.0425882862129096,0.0056239262512501,0.0525799318484847,-0.041737813257373,0.0549558135927355,0.0578882301091149,0.036262027200598,0.0631071373850701,0.0750035101404122,0.0598823670504576,0.1310478194499574,0.0201871510405361,0.0562683088706288,0.0210100854438475,0.0191020071503412,0.1098174593978832,0.0292926511779485,-0.0111093718645131,0.0118902663377495,0.1492552790059138,0.0767176154752754,-0.0286556909578789,0.0029202286241968,
-0.0179057059363927,0.0282017724484083,0.0513500790316548,0.0086808283666771,0.0590407280571148,-0.0368580949540938,0.0576077939811257,0.0621983437411121,0.0443877014802503,0.0658732714343518,0.0788420383320441,0.0679006645370122,0.1343574617627599,0.0242754736043511,0.0594292636782995,0.027346236811517,0.0326805240571316,0.1135487603563104,0.0358551072162192,-0.0059376525354794,0.0151125423001167,0.1607471174550742,0.0854009126306384,-0.018756782015814,0.026221826049027,
-0.0141198910846787,0.0351238339676854,0.0593252659050782,0.011303574596225,0.0644475328244889,-0.0327257469482824,0.0592398235786085,0.0654150328513425,0.0515058877546287,0.0675727149326271,0.0814758207479477,0.0747742935909396,0.1368577774287306,0.0274686576015353,0.0616052456256068,0.0324676491991665,0.0459029510726788,0.1169821758418868,0.0422286036727086,-0.0010060787720055,0.0178430313321424,0.171670621540823,0.0941093732221974,-0.0087830873151848,0.0497730082065522,
-0.0113043094098748,0.0410026028822447,0.0664101695407877,0.0134702416333993,0.0687619509298258,-0.0293935750644415,0.0599169903442452,0.0675615292607849,0.057551723418513,0.0682495272742553,0.0829204369920157,0.0804413409823896,0.1386243640994051,0.0297593906961105,0.062855076014028,0.0363578550987841,0.0585369822839947,0.1200301967364078,0.0482924910021781,0.0036019422697979,0.0200617675194334,0.1818495185937087,0.1026477855988078,0.001062165398763,0.0732364644369482,
