20_93_beat1,20_93_beat2,20_85_beat3,20_85_beat4,20_85_beat5,20_89_beat6,20_89_beat7,20_99_beat8,20_99_beat9,20_99_beat10,20_94_beat11,20_94_beat12,20_94_beat13,20_94_beat14,20_94_beat15,20_66_beat16,20_66_beat17,20_66_beat18,20_46_beat19,20_46_beat20,20_46_beat21,20_46_beat22,20_46_beat23,20_90_beat24,20_90_beat25,20_90_beat26,20_90_beat27,20_81_beat28,20_81_beat29,20_81_beat30,20_81_beat31,20_74_beat32,20_74_beat33,20_74_beat34,20_73_beat35,20_73_beat36,20_73_beat37,20_44_beat38,20_44_beat39,20_44_beat40,20_76_beat41,20_76_beat42,20_76_beat43,20_76_beat44,20_34_beat45,20_34_beat46,20_34_beat47
-0.0311591360874766,0.0279764933465589,0.0481734994250072,-0.0267936980684552,0.0853415754294189,-0.0015408171480664,0.1065705148445369,0.0845154752521762,0.0171874854965893,0.0532957589603261,0.0454946226108959,0.0364751287627064,-0.0118074150421221,0.0552402291193201,0.0233125252967524,0.078158332088852,-0.05699014928657,0.0558954729357901,0.0015780203579092,0.085519451620996,0.0284224049238899,-0.034133906915513,0.0673557561277614,0.1479468159098209,-0.000105751046838,0.0119728303273386,0.0350592854050468,0.1814823514586102,0.0679931381333641,0.0253370554065461,-0.0104112198562276,-0.0278099426204304,0.1470759571871339,-0.0812099261774928,0.0409131535153443,-0.066242660934914,-0.0165988916341379,0.0726696384480246,0.0900680199102737,0.0371423564453921,0.1217571607409108,0.098333807536695,0.1685003633162775,0.0085285361290226,0.160112130552285,0.1204219636754192,0.0565071780832865
-0.0192501322276188,0.0347680352317405,0.0654295036396455,-0.0148338948674563,0.0984059982980471,0.0179325248989296,0.1084101054912827,0.0897857718974188,0.0353766507820223,0.0642271085495081,0.0525475504757963,0.0476207518367219,-0.0011890357830842,0.066137759750615,0.0313447753461792,0.0912962037614488,-0.0430315909831944,0.0670921015212075,0.0071058183176953,0.0930788332649984,0.0445899693409804,-0.0209925027564685,0.0829732780224881,0.1551632520079453,0.0031631423580938,0.0386286808412649,0.0694064525411996,0.1914354742267616,0.074509239409442,0.0412129829288806,-0.0002146428548274,-0.0179664142554821,0.1611566306457101,-0.0739458822667897,0.0511047864679836,-0.05871460184113,-0.0151374185351637,0.0799997422778995,0.1066552613976823,0.0494166972482999,0.1305574521836461,0.1155920761715641,0.178032492461431,0.0165176188271714,0.1770612444542045,0.1314622754164868,0.0700068595604043
-0.0080243028448054,0.0414037563895953,0.0825008952885473,-0.0038310310966443,0.1106612096026045,0.0354324395851358,0.1101417683426376,0.0936725174800705,0.0530508795996048,0.0739328880541398,0.058550421080385,0.0579038951867779,0.0097609294898662,0.0759968237937725,0.0386639895791643,0.1035193934285742,-0.0296915837569208,0.0778276223063845,0.0116067916622105,0.0995941818278288,0.0591233846161386,-0.0087544779947343,0.0977633193177312,0.1611654129578638,0.0060222963375196,0.0642936892447153,0.101753636606588,0.2008645804045077,0.0800655979139815,0.056537473797236,0.009529328186487,-0.0083284865417706,0.1742399079692204,-0.0683230346889933,0.0601239333880318,-0.0529290080457232,-0.0137223640843365,0.0855637664333605,0.121856269944772,0.0606419351108028,0.1385586677360385,0.1323221355010446,0.1862859260999809,0.0226130541265438,0.192552630959768,0.1400939284084187,0.0823084273308211
0.002299698205703,0.0478187463169663,0.0991513710169713,0.0060331046728631,0.1219184340605715,0.0507097817562156,0.1117797784532821,0.0962692612290138,0.0699587876327094,0.0823025089162747,0.0634320232945781,0.0671587892523369,0.0207818326450843,0.0847142433877054,0.045150909313029,0.1145902352474524,-0.0171960660383713,0.0878735065520156,0.0150416479079441,0.1049541204824544,0.0717995583543167,0.0023867303848758,0.1114524093889998,0.1659010297543776,0.0085096940649636,0.0883944419775048,0.1314671151013157,0.2095571855091647,0.084612750707288,0.0710316626420522,0.0186496071365848,0.0008854999933429,0.1862026941419771,-0.064364464571461,0.0678023218199291,-0.0488014245931247,-0.0123668913752243,0.0893596185650511,0.1355291730940571,0.0705994512475655,0.1457519647926894,0.148210359577902,0.1932199961968785,0.0268237144687681,0.2061913887924421,0.1462622210990022,0.0932244112882019
0.0115367675938862,0.0539468824348882,0.1151430283089831,0.0146101310466011,0.1320126603476356,0.0635788972213962,0.1133232736695613,0.097673446057053,0.0858640496844194,0.0892551901553889,0.0671520845304797,0.075239801262837,0.0316042618733169,0.0922225720278339,0.050703832959211,0.1242983643647002,-0.0057517774106941,0.0970181955768966,0.0174036291699749,0.1090744297372849,0.0824392240693822,0.0122678849986741,0.1237952148482883,0.1693438537050051,0.0106612962853305,0.1103907935518993,0.1579700555163396,0.2173091536157317,0.0881214404412621,0.0844315927820077,0.0269930257114352,0.0094729126460974,0.1969477401854185,-0.0620602095451312,0.0740106408897358,-0.0462139487150713,-0.0110812344577515,0.0914091991485197,0.1475665688753989,0.0790971918323906,0.1521374878809495,0.16296651430575,0.1988213965180504,0.0292111158863975,0.217624890000114,0.1499734065134786,0.1026089099167299
0.0195393027242781,0.0597229808378543,0.1302434603562607,0.0217876498703114,0.1408064574856973,0.0739195486496102,0.1147563252684533,0.0979830083392166,0.1005513846664702,0.0947415932968995,0.0697004140880715,0.0820258424340278,0.0419589590948218,0.0984904162694512,0.0552409976882441,0.1324677267324139,0.0044606536036832,0.1050732216208893,0.0187158652378347,0.1119000893759957,0.090909273500508,0.0207589528130355,0.1345823429281566,0.1714924039222995,0.0125086721938807,0.1297908759385623,0.180758414994126,0.2239308388915977,0.0905817831038559,0.0964956325830187,0.0344280031062603,0.0172516867326462,0.2064040965051077,-0.0613710265231129,0.0786609075686841,-0.0450215920092963,-0.0098731409748676,0.0917577716447588,0.157895855321361,0.0859742252962288,0.1577253348839683,0.1763322999744341,0.2031012208806894,0.029884192684021,0.2265543080507952,0.151292242522197,0.110359296638546
0.0261996681298219,0.0650849202058861,0.1442328205617167,0.0274906379416565,0.1481928616135307,0.0816766348432035,0.1160489862691686,0.0972935357492839,0.1138316347074473,0.0987444105774426,0.0710951588929647,0.0874240258643125,0.0515858742221982,0.1035213676797272,0.0587022509286933,0.1389622127704241,0.0132927875032091,0.1118784421437878,0.0190277737261646,0.1134062563598817,0.0971235650770675,0.0277649702280623,0.1436467175487362,0.1723679790029181,0.0140769370529266,0.146165106686074,0.199414698163151,0.2292527753679987,0.0920019959318861,0.1070112031189497,0.0408473918886581,0.0240643515428652,0.2145268414399861,-0.0622324926755836,0.0817074080679258,-0.0450592321524176,-0.0087484170513307,0.0904731961206897,0.1664784503405754,0.0911042783449915,0.1625361998180357,0.1880884383019041,0.2060912354298395,0.0289926093331333,0.2327443449024797,0.1503378305671378,0.1164164954822858
0.0314511663884771,0.0699756339999217,0.1569105642709083,0.0316816788071665,0.1540972686718283,0.0868578486562424,0.117159236850909,0.0956961030372711,0.125545782150088,0.1012778936837999,0.0713802693208874,0.0913724193918239,0.0602429646128316,0.1073516222284391,0.0610499894468487,0.1436896846460829,0.0206333356142793,0.1173061935599441,0.0184107477317973,0.1135981582944215,0.1010422650617468,0.0332267489887716,0.150868248136924,0.172012071262516,0.0153830971310366,0.1591586642329828,0.2136190492443833,0.2331307377262075,0.0924067713518873,0.1158005849837609,0.0461704431833569,0.0297811178380057,0.2212961320219608,-0.0645591634544722,0.0831462446981639,-0.0461488493188639,-0.0077115268911758,0.0876450092757758,0.1733079962508601,0.0943981541413795,0.1666015254567915,0.1980600764387308,0.207839612729848,0.0267189260651905,0.236030772446432,0.1472779072570692,0.1207639097944461
0.0352675653509303,0.074344877129392,0.1681015908107862,0.0343601007476833,0.1584783090217187,0.0895294967016431,0.1180356971098649,0.0932758661977967,0.135567801180773,0.1023863507628673,0.0706222922206492,0.0938417776963723,0.06771436182125,0.1100464182414885,0.0622693707274543,0.1466042453875515,0.0264117754356572,0.1212642248832369,0.0169533862497001,0.1125099366742174,0.1026698385791695,0.0371204480919597,0.1561765971642814,0.1704833382959472,0.0164348920618741,0.1685019147041657,0.2231572521888073,0.2354500183511382,0.0918353861789544,0.122725609028077,0.0503438709826483,0.0343019643594548,0.2267156395598907,-0.0682485308717143,0.0830135665215549,-0.0481067364957439,-0.0067661980525964,0.0833833204482834,0.1784076822796803,0.0958049834689592,0.1699630255825827,0.2061203646004082,0.2084063654251265,0.0232699670890435,0.2363254975166539,0.1423217969467505,0.1234251228323779
0.0376612903906575,0.0781506886388124,0.1776615366044704,0.0355601226975271,0.1613277186758289,0.0898107671216867,0.1186209374516672,0.0901114525627245,0.1438062951488963,0.1021416793416269,0.0689066240127185,0.0948361842518046,0.0738175610720252,0.1116954714831585,0.0623678253386256,0.1477066807350566,0.0306004517593269,0.1236973300970883,0.0147565249312962,0.1102025278338725,0.1020518607784846,0.039456078110002,0.1595519456301724,0.1678542931676985,0.0172302097343774,0.1740183153031672,0.2279253315127468,0.2361287928080509,0.0903396343041837,0.1276910794874834,0.0533420300494595,0.0375577034563454,0.2308104458152416,-0.0731845645397137,0.0813826039380561,-0.0507503834397575,-0.0059159849815268,0.0778174839497111,0.1818268512167759,0.0953123068500484,0.1726714768712073,0.2121921508430325,0.207858714862519,0.0188677575445377,0.2336189667871485,0.135712269642274,0.1244605159309732
