2_84_beat1,2_62_beat2,2_13_beat3,2_13_beat4,2_13_beat5,2_61_beat6,2_61_beat7,2_61_beat8,2_23_beat9,2_87_beat10,2_12_beat11,2_71_beat12,2_71_beat13,2_71_beat14,2_9_beat15,2_91_beat1,2_91_beat2,2_89_beat3,2_89_beat4,2_85_beat5,2_95_beat6,2_95_beat7,2_95_beat8
0.1519015182023727,0.159401915456988,0.0281086871978353,0.0394695363574454,0.3079201847052373,0.0605019185046728,-0.1181799399220556,0.0418959702218713,0.2224159690255197,-0.1689132619543283,0.1019189980832667,-0.004588062930152,-0.0854484243012719,0.0946806234938171,0.2309963346069692,,,,,,,,
0.1721338353931297,0.1683733269202715,0.050962310126946,0.0613504185238676,0.3333716851204534,0.0721876067590488,-0.106637215738944,0.0618113207248151,0.2448870441592568,-0.1567991317669338,0.1178091383494085,0.0239966128432092,-0.0548917543074553,0.1143041752363934,0.2527485451943893,,,,,,,,
0.1906232506266659,0.1775397001559581,0.0726983941924071,0.082041248906115,0.3562763874214258,0.0849759592242604,-0.094226623934428,0.0825070725739416,0.2674666029948371,-0.1450542749015354,0.1344964904475367,0.0513923165459833,-0.0247367705921723,0.1346545187381665,0.2723261303056347,,,,,,,,
0.2069975032562012,0.1867271255178107,0.0929605327984431,0.1011899186660631,0.3761591697234001,0.0985822551566202,-0.0811845839952483,0.1035671709399229,0.2897133828161635,-0.1339182449535809,0.1517526697207792,0.077127989983852,0.0044194274644579,0.1552516655410001,0.2894349921176587,,,,,,,,
0.2209144059432209,0.1957583373663346,0.111427247094449,0.1184842338173153,0.3926133495505252,0.1126897781209235,-0.0677721999136958,0.1245589969478218,0.3111869555777251,-0.1236012461189264,0.1693173370727492,0.1007734733428996,0.0320003790977206,0.1756042152319619,0.3038426507483311,,,,,,,,
0.2320714005175718,0.2044572887918777,0.1278197010534532,0.133659678859612,0.4053118500458748,0.1269594806830461,-0.0542679150747947,0.14504651947236,0.3314620748863012,-0.1142805027059324,0.1869031449904639,0.1219508601921037,0.0574676114664559,0.1952237181816828,0.315377713095234,,,,,,,,
0.2402145559554792,0.2126537288062703,0.1419078251929289,0.1465053897032401,0.4140157613085038,0.1410407378932318,-0.0409593988402161,0.1646036731788933,0.3501417780505535,-0.1060978221609245,0.2042019809066266,0.1403437789010244,0.0803364217531068,0.2136390780990059,0.3239271896084038,,,,,,,,
0.2451466650173533,0.2201876094386399,0.1535147206433127,0.1568682045284649,0.4185801111777721,0.1545827297522506,-0.0281349938888775,0.1828273962211216,0.3668688033700665,-0.0991583211898415,0.2208923240188541,0.1557043211308825,0.1001894564700988,0.2304103830873059,0.3294320416501528,,,,,,,,
0.2467341065456297,0.2269131618819538,0.1625192994971298,0.1646547507934409,0.418956752269244,0.1672459479351745,-0.0160750813088688,0.1993497774018239,0.3813350051116508,-0.0935302484483085,0.2366474706097375,0.1678574691171404,0.1166875891138337,0.2451415912998678,0.3318814025040069,,,,,,,,
0.2449121679467099,0.2327025006003643,0.1688571925855637,0.1698316086915454,0.4151943487787567,0.1787133080188251,-0.0050437259357804,0.213848812941277,0.3932885744531212,-0.0892458096895056,0.2511443334582282,0.1767030011230297,0.1295777558172073,0.2574915679260882,0.3313059435154422,,,,,,,,
0.2396885653644795,0.2374486402671177,0.1725200188840045,0.1724236626107362,0.407435510601108,0.1887003674336319,0.0047190531611886,0.2260573530260595,0.4025389948189339,-0.0863028820776486,0.2640724852531355,0.1822149700173576,0.1386975754300304,0.2671830670172046,0.3277708543207651,,,,,,,,
0.2311449553433619,0.2410678403054989,0.1735531603528078,0.172510810754748,0.3959111787302617,0.1969641999375142,0.0130040809122707,0.2357699207942659,0.4089597669593056,-0.0846674929272041,0.2751430964961966,0.184438946954704,0.1439767427258475,0.2740093658898185,0.3213688755641372,,,,,,,,
0.2194362993314463,0.2435012233060061,0.1720522220343968,0.1702232482182092,0.3809324207717297,0.2033105550655498,0.019638643045268,0.242847202380799,0.4124890274545147,-0.0842769332954933,0.2840974174067123,0.1834872966590783,0.145435330577439,0.2778383822080744,0.312213768302813,,,,,,,,
0.2047880193440968,0.2447156445284964,0.1681583803135649,0.1657355703222548,0.3628798549851906,0.207599028944691,0.024490739245707,0.2472181266924386,0.4131282511254501,-0.0850433772024129,0.2907144716187757,0.1795328013570565,0.1431792613698643,0.27861422544984,0.3004345319005587,,,,,,,,
0.1874909672853186,0.2447038183003153,0.1620528337453552,0.1592599613537497,0.3421909910179395,0.2097460829413718,0.0274718645648313,0.2488795689634939,0.4109392726066351,-0.0868578812075934,0.2948176658845342,0.172800977717118,0.1373933052007221,0.2763562478126851,0.2861705977185774,,,,,,,,
0.1678943186238922,0.2434837321491771,0.1539505726230891,0.1510387399438382,0.3193458576990066,0.2097258603364929,0.0285382853777731,0.2478938155565155,0.4060398866316105,-0.089594645154763,0.2962800716414734,0.163561437764649,0.1283320308586938,0.2711557590970243,0.2695681357149785,,,,,,,,
