23_80_beat1,23_99_beat2,23_66_beat3,23_66_beat4,23_53_beat5,23_55_beat6,23_55_beat7,23_8_beat8,23_47_beat9,23_54_beat10,23_92_beat11,23_70_beat12,23_70_beat13,23_28_beat14,23_81_beat15,23_81_beat16,23_81_beat17,23_46_beat18,23_22_beat19,23_62_beat20,23_32_beat21,23_32_beat22,23_68_beat23,23_25_beat24,23_59_beat25,23_59_beat26,23_89_beat27,23_79_beat28,23_44_beat29,23_76_beat30,23_76_beat31,23_87_beat32,23_65_beat33,23_2_beat34,23_86_beat35,23_86_beat36,23_86_beat37
-0.0139040495118267,-0.0410122226126098,-0.0040257038259125,-0.0125783671292838,0.0002948271513254,-0.0388262465584615,0.0023789545199597,-0.0201228319142374,-0.0344116278960828,-0.0210336797841829,-0.0141503426600622,-0.0287608812526704,-0.0195608945497534,-0.026485541583341,0.0011618086608786,-0.0052622246753203,-0.016849481049838,-0.0163389034644859,-0.0286262495263467,-0.0343884096904614,-0.036652598600102,-0.0244048026802042,-0.0153221270613401,-0.1713910095049674,-0.0187438841459705,-0.0137235331423211,-0.1169031976281202,-0.0489063092193308,0.0146198162409792,0.0016916400556604,-0.0032409227176635,-0.0099772184060922,0.0091152189061082,-0.0264860399916829,0.0220659639539074,0.0010688757343932,-0.0265940666294629
-0.0095980169765992,-0.0374796497377682,-0.0028296464709975,-0.011329700286861,0.0023729291388186,-0.0363059989358976,0.00471629559177,-0.0174221374314893,-0.025535368176772,-0.0200315493977907,-0.0114285956539609,-0.0260243714758228,-0.0169158798076496,-0.0247971850905921,0.0021606670892014,-0.0034576089688579,-0.0148145263135385,-0.0144135754534353,-0.0246893143130188,-0.0329599413847128,-0.0313271331154867,-0.0219549663644285,-0.0134466215937753,-0.1561010860979017,-0.0174819743452935,-0.0129536392470237,-0.1082612780901494,-0.0452471264124713,0.0200926936412568,0.0037613007549357,-0.0007633503411282,-0.0080007542534411,0.0121712150753974,-0.0231309504741606,0.0246350747787413,0.0034042418607056,-0.024769241676602
-0.0052046320853776,-0.0340093852676612,-0.001691612672438,-0.0099699998396336,0.0043850548835451,-0.0338043695054836,0.0069823790750026,-0.0147167430813955,-0.0158886712761934,-0.0187120481019318,-0.0086392833447174,-0.0232233224960691,-0.0141894673790128,-0.0228877580133438,0.0033803432416951,-0.0016584245900919,-0.0128004651423027,-0.0123946413002921,-0.0205357275731997,-0.0309957235564593,-0.0259125451784439,-0.01925747501263,-0.0115160580514405,-0.1396881922419189,-0.0160815346317312,-0.0120550314886829,-0.0993436482019398,-0.0414557382575779,0.0258269984815135,0.0056647392807046,0.0017730534924199,-0.0060323622185133,0.015081940333861,-0.0195949780933924,0.0273840327959338,0.0057036023113688,-0.0229389184671206
-0.0007796465620487,-0.0306165319103084,-0.0006140094703028,-0.0085200024038826,0.0063086100736447,-0.0313328254580133,0.0091557709118764,-0.0120485548588583,-0.0056048353144463,-0.0170810363428555,-0.0058227852288091,-0.0203953590022251,-0.0114180625590066,-0.0207835311007098,0.0048055965490224,0.0001102563177281,-0.0108292461586161,-0.0103099915895861,-0.0162220837591781,-0.0285034240610946,-0.0204618391033874,-0.0163351083719155,-0.0095540603441003,-0.1223343390128698,-0.0145602473589445,-0.0110365937324393,-0.090223864879339,-0.0375684308674545,0.0317681939578596,0.0074013834483974,0.0043380806398472,-0.004095105120262,0.017822337665353,-0.0159273465577367,0.0302927432103734,0.0079380391136207,-0.0211184169589953
0.0036219830229914,-0.027315259523155,0.0004020465428853,-0.007001810597237,0.0081238624979389,-0.0289008220815106,0.0112182333387979,-0.0094574654990311,0.0051557063321934,-0.0151519915108986,-0.0030198363280288,-0.0175768619373793,-0.0086378496390102,-0.0185148634810365,0.0064159121560834,0.0018252614087789,-0.0089199176874628,-0.0081884374696499,-0.011807700082015,-0.0254992816723147,-0.0150265083946105,-0.0132151515767236,-0.007583727284064,-0.104242086165445,-0.0129382024864174,-0.0099099263451205,-0.0809766725834949,-0.0336234125245026,0.0378584233819807,0.0089727521989742,0.0069012659625827,-0.0022105150817663,0.0203715279120992,-0.0121790308685609,0.033336217985686,0.0100813231674212,-0.019321516344745
0.0079472298544848,-0.0241186139852901,0.0013565692743966,-0.0054382848320887,0.0098142735326074,-0.0265160277768587,0.0131549038597769,-0.0069803553040005,0.0162095179855718,-0.0129459458687456,-0.0002705025852713,-0.0148020974129014,-0.005883875229855,-0.0161153526790133,0.0081863536950668,0.0034657936135755,-0.0070882696298909,-0.006058924568129,-0.0073530891759381,-0.0220083446434302,-0.009655515144341,-0.0099286804785051,-0.0056271111707669,-0.0856306162877062,-0.0112373237519725,-0.0086890763003776,-0.0716770547334029,-0.0296597776928242,0.0440379138096731,0.0103822901604272,0.0094326998576442,-0.0003981704784673,0.0227129843682969,-0.0084013620880326,0.0364855954635135,0.0121104403663597,-0.0175602742619609
0.0121460339475431,-0.021038332466917,0.0022505426388117,-0.0038524303783144,0.0113667130544719,-0.0241845832141945,0.0149543694592413,-0.0046502187335312,0.0273553982374343,-0.010491147160002,0.0023868154847914,-0.0121024600744228,-0.003189201052698,-0.0136208868522876,0.0100885216562538,0.0050138066549857,-0.0053466112737235,-0.003949763807114,-0.0029184311862396,-0.0180645280575948,-0.0043943801073962,-0.0065097461963229,-0.0037047583229899,-0.0667311355876116,-0.0094807430634838,-0.0073901695274274,-0.0623993470937487,-0.0257164723376828,0.0502463533815213,0.0116351849850686,0.0119037938278057,0.0013246542051028,0.0248345883279101,-0.0046446628919686,0.0397092287167196,0.0140059886332474,-0.0158449229859381
0.0161722193882073,-0.0180846763372495,0.0030857655698419,-0.002266803196607,0.0127715592812704,-0.0219113789361907,0.0166086442296145,-0.0024954412933428,0.0383805296447752,-0.0078224477253249,0.0049163164777606,-0.0095058516634527,-0.0005841538670255,-0.0110686382786193,0.0120915738358697,0.006454275022718,-0.0037036847037312,-0.0018879069507754,0.0014379014416639,-0.0137104692107467,0.0007155905467331,-0.002994495108651,-0.0018353236042084,-0.0477817195836114,-0.0076921500197123,-0.0060309619080308,-0.0532164056124124,-0.0218313026456096,0.0564241991835724,0.0127381697066421,0.0142879706580601,0.0029432595046739,0.0267285765037652,-0.0009569642915132,0.0429737920051667,0.015752441113687,-0.0141838401811179
0.019984275221325,-0.0152662916490802,0.0038647067665226,-0.0007029558817752,0.0140226893704688,-0.0197003363134689,0.0181130607793645,-0.0005392441171166,0.0490673071965281,-0.0049804416575643,0.0072856384807415,-0.0070362081392197,0.0019043054902701,-0.0084960383952016,0.0141632645164564,0.007775357639862,-0.0021647077112136,0.0001017086352289,0.0056607178798401,-0.0089971636997953,0.0056379222967942,0.0005797386590189,-3.526700331578089e-05,-0.0290217602228106,-0.005895143641097,-0.004630329658249,-0.0441988215170765,-0.0180400239932267,0.0625138783244899,0.0136993117560697,0.0165612559067447,0.0044457102791885,0.0283913932041819,0.0026171522367878,0.0462453589200639,0.0173382766694866,-0.0125835881658208
0.023545988980733,-0.0125901052258382,0.0045903716237175,0.0008190580938776,0.0151173701513769,-0.0175546779214862,0.0194660871973638,0.0012006936021673,0.0592005784516413,-0.0020103823454402,0.0094665804909227,-0.0047131813662999,0.0042530782357992,-0.0059397738860657,0.0162709614422101,0.0089684587569328,-0.0007315351905041,0.0019967257573975,0.0096992395390268,-0.0039833699094766,0.0103414206936269,0.0041753323791617,0.0016813636377383,-0.0106862069392696,-0.0041126120487093,-0.0032077228527161,-0.0354141780157572,-0.0143755401835583,0.0684608519810694,0.0145277899590777,0.0187027535248175,0.0058229433713689,0.0298234612079411,0.0060375508634163,0.0494904120271842,0.0187559840445,-0.0110490126866422
