11_33_beat1,11_46_beat2,11_37_beat3,11_29_beat4,11_71_beat1,11_48_beat2
0.2522715424499681,0.1976671742308296,0.1764977521972565,0.0036254036436639,,
0.2743561626618314,0.2212556526266659,0.1982552463753024,0.004583719769153,,
0.2959153937748395,0.2446380724839927,0.2175876472592147,0.0053383813379504,,
0.3166924720855965,0.2675434647384767,0.2343759822167237,0.0058882094626819,,
0.3364413908373539,0.2897072053537139,0.2485516504785372,0.0062356878844252,,
0.3549318161966499,0.3108763044184378,0.2600931932722276,0.0063866803945365,,
0.3719532656883813,0.3308143926265875,0.2690217855922668,0.0063500990595639,,
0.3873185108890724,0.3493062810606409,0.2753957698417399,0.006137539126443,,
0.4008661863705801,0.3661619852127025,0.2793045783135808,0.0057628935745272,,
0.4124626075745757,0.3812201210023734,0.2808623982366461,0.0052419570130183,,
0.4220028228126379,0.3943505993505701,0.2802019193796875,0.0045920253880799,,
0.4294109487756918,0.405456565801672,0.2774684708412748,0.0038314951325579,,
0.4346398624495732,0.4144755514837515,0.2728148040172678,0.0029794633003206,,
0.4376703411115976,0.4213798207756897,0.2663967178175205,0.0020553291740961,,
0.4385097523252464,0.426175919662015,0.2583696549694994,0.0010783980421545,,
0.4371903961439073,0.4289034472794567,0.2488863290206544,6.748930656700322e-05,,
0.4337675936128812,0.4296330916943955,0.238095374198661,-0.0009594466019654,,
0.4283176025481266,0.4284639894796998,0.2261409477838301,-0.0019856955582875,,
0.420935427459907,0.425520486983669,0.2131631597419934,-0.0029961221448788,,
0.411732578819023,0.4209483985860839,0.1992991594879913,-0.0039774759104157,,
0.4008348292256569,0.4149108725203773,0.1846846770067081,-0.0049186487874718,,
0.3883800092828538,0.4075839867169063,0.1694557966925974,-0.0058108710609041,,
0.3745158809942384,0.3991522046560898,0.1537507375390712,-0.0066478355563934,,
0.3593981184146615,0.3898038242278181,0.1377114218371415,-0.0074257434211523,,
0.3431884131715269,0.3797265514728569,0.1214846349262459,-0.0081432686430434,,
0.3260527078169724,0.36910332600079,0.1052226094335387,-0.0088014417723612,,
0.308159545802635,0.3581085153106807,0.0890829071209995,-0.0094034566128413,,
0.2896785160500856,0.3469045804683194,0.0732275174936136,-0.0099544073269678,,
0.2707787639105237,0.3356392955896142,0.0578211421906242,-0.0104609671174492,,
0.2516275387365833,0.3244435794049748,0.0430286856825259,-0.0109310226701388,,
0.2323887509784147,0.3134299706501594,0.0290120235586759,-0.011373280370147,,
0.2132215181419705,0.3026917520385098,0.0159261670629786,-0.0117968608011488,,
0.1942786881128905,0.292302701639946,0.003914984234391,-0.0122108972805221,,
0.1757053389710475,0.2823174267260984,-0.0068933274574346,-0.0126241524430601,,
0.1576372651776263,0.2727722145735816,-0.0163907957332108,-0.0130446647989057,,
0.1401994696068245,0.2636863189221055,-0.0244940171791688,-0.0134794356041305,,
0.1235046883739491,0.2550635919115651,-0.0311480459932975,-0.0139341657260412,,
0.1076519806138909,0.246894370956226,-0.0363295908852937,-0.014413052077645,,
0.0927254188895683,0.2391575373641748,-0.0400493037416646,-0.0149186528397922,,
0.0787929189134002,0.2318226743378762,-0.0423529771114471,-0.0154518295025768,,
0.0659052512897482,0.2248522604368392,-0.0433215127010329,-0.0160117715223712,,
0.0540952846293855,0.2182038377497333,-0.0430695781402542,-0.0165961060664868,,
0.0433775194055175,0.2118320942226646,-0.0417429319058089,-0.0172010909033822,,
0.0337479830422421,0.2056908011945872,-0.0395144633454433,-0.017821883063724,,
0.0251845612856676,0.1997345526368841,-0.036579062348317,-0.0184528698706423,,
0.017647828683155,0.1939202618508362,-0.0331474969971554,-0.0190880434807411,,
0.0110824084525368,0.1882083832624914,-0.0294395333992077,-0.0197213968006393,,
0.0054188472628173,0.1825638400511292,-0.0256765764915659,-0.0203473183499336,,
0.0005759463569956,0.1769566515514397,-0.0220741415782173,-0.0209609655333328,,
-0.0035365445794093,0.1713622670439191,-0.0188344823018634,-0.0215585982884846,,
-0.0070149878490028,0.1657616241351619,-0.0161397011339937,-0.0221378572346261,,
-0.0099588014412929,0.1601409597278099,-0.0141456531769031,-0.0226979724095529,,
