57_86_beat1,57_85_beat2,57_50_beat3,57_11_beat4,57_11_beat5,57_4_beat6,57_73_beat1,57_76_beat2
0.0624968060867747,0.0704370852755447,0.0426378973019487,0.0715908390551221,0.0627740831083073,0.0387961590586342,,
0.0665166752639056,0.0777473807336599,0.0472972167952213,0.0758846159940098,0.0693381232982478,0.045359762311824,,
0.0700984613975678,0.0845868646244286,0.0513942757176535,0.0793117091669616,0.0749048604531375,0.0510392831289834,,
0.0731914270743167,0.0908584333898625,0.0549152312225637,0.0818533878320647,0.0794784094122016,0.0558168073879525,,
0.0757542446222948,0.0964760899870989,0.0578584566768834,0.0835131863443279,0.0830807907389422,0.0596931482087732,,
0.0777555614116207,0.1013673819122874,0.0602335681868677,0.0843152730270225,0.0857502427884047,0.0626862594735024,,
0.079174212350153,0.1054752289723002,0.062060057666913,0.0843021173880339,0.0875391988039533,0.0648291776476517,,
0.0799990974947797,0.1087590676429287,0.0633656105872747,0.0835316030557623,0.0885119992180308,0.0661676147350801,,
0.0802287629887795,0.1111952813045538,0.0641842019238384,0.0820737579458486,0.0887424106082352,0.0667573331724156,,
0.0798707399118222,0.1127769288341891,0.064554073769154,0.0800072868948017,0.0883110241762752,0.0666614317064191,,
0.0789407061821301,0.113512825072563,0.0645157027467208,0.0774160944753718,0.0873026082438741,0.06594766162544,,
0.0774615404834506,0.1134260618963372,0.0641098647244612,0.0743859755686435,0.085803490743402,0.0646858779005105,,
0.0754623346291667,0.1125520851050199,0.0633758977308829,0.071001628145941,0.0838990484484931,0.0629457122725267,,
0.072977423221063,0.1109364590843704,0.0623502508832207,0.0673441089661862,0.0816713788581981,0.060794536903697,,
0.0700454786578308,0.1086324586161198,0.0610653878697385,0.0634888132943943,0.0791972268595418,0.0582957692846902,,
0.0667087069079222,0.1056986259643,0.0595490896406072,0.0595040195152312,0.0765462302928494,0.0555075526060076,,
0.0630121661082142,0.1021964222858531,0.0578241748640615,0.0554500026080045,0.0737795360187439,0.0524818309624583,,
0.0590032170996332,0.0981880867127545,0.0559086308175504,0.0513786891164401,0.0709488215463333,0.0492638250117935,,
0.054731103458513,0.0937347956189751,0.0538161234633002,0.0473338013534241,0.0680957376792714,0.0458919003689666,,
0.0502466492383346,0.0888951900717643,0.0515568345774438,0.0433514199099597,0.065251766745479,0.0423978078935166,,
0.0456020559799477,0.083724312926591,0.0491385566896574,0.0394608802379002,0.0624384714715203,0.0388072624325933,,
0.0408507761148152,0.0782729704152732,0.0465679638422088,0.0356859104668985,0.0596680939606807,0.0351408149994197,,
0.0360474363573263,0.0725875081995833,0.0438519683001081,0.0320459135144726,0.0569444539700192,0.031414963239972,,
0.0312477812387652,0.0667099700424249,0.0409990707537903,0.0285572968991255,0.054264091192115,0.0276434367354295,,
0.0265086039967161,0.0606785894481737,0.0380206145762287,0.0252347585130938,0.0516175972378628,0.0238385874987199,,
0.0218876303903283,0.0545285515663838,0.034931863512846,0.0220924462326734,0.0489910881840431,0.0200128121776425,,
0.0174433210376259,0.0482929546486042,0.0317528365801814,0.0191449233414265,0.0463677753155491,0.016179931139162,,
0.0132345598584008,0.0420038969524439,0.028508852754002,0.0164078885878932,0.0437295968603561,0.0123564508837942,,
0.0093202006608583,0.0356936150167114,0.025230758775039,0.0138986168998894,0.041058874578115,0.0085626401704803,,
0.005758451154124,0.029395601389816,0.0219548330120164,0.0116361026402393,0.0383399551100553,0.0048233567626553,,
0.0026060835327465,0.0231456333972695,0.0187223745618879,0.009640900979201,0.0355607879496982,0.0011685705000778,,
-8.25272667180616e-05,0.0169826491270616,0.0155789991722394,0.0079346741658407,0.0327143822761355,-0.002366461239581,,
-0.0022565232042685,0.010949412467936,0.0125736729284827,0.0065394588048393,0.0298000769338909,-0.0057413981983008,,
-0.0038698123635947,0.005092915957066,0.009757521728547,0.0054766792715188,0.0268245541780108,-0.0089114213815413,,
-0.0048824059952158,-0.0005355209397613,0.0071824597561601,0.004765942591808,0.0238025298154616,-0.0118282394273024,,
