31_49_beat1,31_9_beat2,31_9_beat3,31_24_beat4,31_24_beat5,31_58_beat6,31_19_beat7,31_26_beat8,31_23_beat9,31_23_beat10,31_68_beat11,31_35_beat12,31_35_beat13,31_20_beat14,31_20_beat15,31_12_beat16,31_44_beat17,31_6_beat18,31_6_beat19,31_60_beat20,31_60_beat21,31_42_beat22,31_42_beat23,31_48_beat24,31_16_beat25,31_37_beat1,31_37_beat2,31_91_beat3,31_18_beat4,31_18_beat5,31_81_beat6,31_98_beat7,31_63_beat8
0.0118323060825398,0.0020493984973192,0.0111294299718479,0.0062388568902571,0.0053326997977696,0.0098606319520308,0.0053196711729789,0.0322635756926777,0.0013303764952016,0.005164267879777,0.0063469973940061,0.0349341917349598,0.0149071245079992,0.0166072300423929,0.0184629378876888,0.0055151826909608,0.0006324080946602,0.0004677037480771,0.0022409755680493,0.0357760853300638,0.0044956362118259,0.018085151862659,0.0098775978011779,0.0048012186697038,0.0149272807925669,,,,,,,,
0.0122162587400625,0.002738354374072,0.011174864128026,0.0072739003195718,0.0053520303270223,0.0101466395868424,0.0051587778183402,0.0321025839642261,0.0016825736941329,0.0052509238407428,0.0064254241581909,0.0352707272875561,0.0163005918986441,0.0177895267969037,0.019093071277194,0.006615400030366,0.0012143814754013,0.0010080290526403,0.0027785198643654,0.0379948613318475,0.0053942609118819,0.018325074013659,0.0102823508698877,0.0049406876767905,0.0153681014158971,,,,,,,,
0.0125246752323382,0.0033285329005546,0.0111730375227806,0.0082135201502882,0.005277116999442,0.0103476144562529,0.0049741767616645,0.0317719561177969,0.0019792033112334,0.0053037545133777,0.0064364485488021,0.035528988222614,0.0175585657881358,0.0188222481771076,0.019647096781461,0.0076461509658706,0.0016364588075815,0.0015037237604715,0.0032332150212441,0.0401058124212085,0.0062587046289312,0.0185445841286805,0.0106469729788923,0.0050596487693653,0.0156339291892921,,,,,,,,
0.0127586095162866,0.0038249226683516,0.0111333134720241,0.009055925298855,0.0051148675635805,0.0104670531838355,0.0047723418092266,0.0312888175180229,0.0022246379071743,0.005333131787634,0.006388950289608,0.0357143523355653,0.0186807298703927,0.0197004174286833,0.0201338630116151,0.008598416159831,0.0019202045499778,0.00195459252112,0.0036052241669338,0.0420852259455916,0.0070797409275707,0.0187453686381558,0.0109725404486716,0.0051608188719499,0.0157332871468124,,,,,,,,
0.0129195003136204,0.0042343876791242,0.0110649248536729,0.0098013879032585,0.0048728969451334,0.0105093282938402,0.0045588811874265,0.0306719634030339,0.0024238852165204,0.0053493806674341,0.006292232372421,0.0358321403632976,0.0196683148074287,0.0204204542995035,0.0205624502947885,0.0094651837424438,0.0020903534520812,0.0023609209576571,0.0038961957568921,0.0439109371740815,0.007848775584356,0.018928574236768,0.0112593987111862,0.0052465270634407,0.0156772033049645,,,,,,,,
0.0130091453364149,0.0045652957372812,0.0109766388274951,0.0104520679735356,0.004559406113039,0.0104795155712342,0.0043385063155697,0.0299413619728033,0.0025823211680679,0.005362446935487,0.0061557082199754,0.0358874019158423,0.0205237763425446,0.020980180878955,0.0209417628638254,0.010241460185275,0.0021739866157415,0.0027233726231452,0.0041091067526753,0.0455627644493576,0.00855803718617,0.0190948144209909,0.0115072371385479,0.0053186672620556,0.0154787804220623,,,,,,,,
0.0130296908285162,0.0048271134710418,0.0108764506429395,0.0110117883952992,0.0041830608671155,0.0103832285096541,0.0041150231873342,0.0291176465317638,0.0027054350036925,0.0053815892145983,0.0059886061399792,0.0358847521615495,0.0212504663015661,0.0213788354787447,0.0212801362670818,0.0109242368313924,0.0021996448441176,0.0030428928870981,0.0042480782723567,0.0470228564169675,0.009200733437219,0.0192441982348529,0.0117152058367164,0.0053786687102843,0.0151527317871362,,,,,,,,
0.0129836329309434,0.0050299817534861,0.010771318146543,0.0114857692442703,0.0037528688406201,0.0102264638771811,0.003891344270236,0.0282216118204115,0.0027985965548624,0.0054151044911269,0.0057997007125806,0.0358282629623889,0.0218523121646113,0.0216170930882619,0.0215849769008514,0.0115124162907892,0.0021964068142668,0.0033206221709471,0.0043181717930626,0.0482759459772556,0.0097711734959678,0.0193763780141138,0.0118820644504077,0.0054274838926265,0.0147148993288876,,,,,,,,
0.0128738265195361,0.0051842856567926,0.0106669464088078,0.0118803314021674,0.0032780531049486,0.0100154609947211,0.0036695190002573,0.0272737289659042,0.0028668540860811,0.0054700946226577,0.0055970798107436,0.0357214084018298,0.0223335199089251,0.0216970893879601,0.0218624500447755,0.0120067032596851,0.002192960094154,0.0035578201494187,0.0043251743608758,0.0493095112771747,0.0102648573428774,0.0194906124067994,0.0120063520742965,0.00546559326291,0.0141817695441104,,,,,,,,
0.0127034967337958,0.0053002330572802,0.0105676293317446,0.0122025802618355,0.0027679211160149,0.0097565759581644,0.0034507811055989,0.0262936921807928,0.0029147691476431,0.0055522795846023,0.0053879545969765,0.0355670611970293,0.0226983132689824,0.0216224440469555,0.0221172313076553,0.0124094645110832,0.0022166923072483,0.0037558018248108,0.0042753812048287,0.0501138491553403,0.010678533379964,0.0195858406832158,0.0120865670705861,0.0054930259211244,0.0135700015498796,,,,,,,,
