4_87_beat1,4_87_beat2,4_48_beat3,4_94_beat4,4_94_beat5,4_21_beat6,4_91_beat7,4_91_beat8,4_8_beat9,4_55_beat10,4_85_beat11,4_85_beat12,4_95_beat13,4_78_beat14,4_78_beat15,4_59_beat16,4_59_beat17,4_35_beat18,4_35_beat19,4_44_beat20,4_15_beat21,4_80_beat22,4_80_beat23,4_80_beat24,4_20_beat25,4_20_beat26,4_77_beat27,4_77_beat28,4_77_beat29,4_77_beat30,4_1_beat31,4_82_beat32,4_54_beat33,4_32_beat34,4_60_beat35,4_11_beat36,4_11_beat37,4_11_beat38,4_74_beat39,4_74_beat40,4_74_beat41,4_41_beat42,4_16_beat43
-0.0207903110354824,0.1485277180628971,0.1171733971629647,-0.1832417362176389,-0.1325167801293547,-0.143806492276376,0.0637408422191569,-0.1897680981395052,0.0240431550418078,-0.0811521999437852,-0.1730847819883276,-0.0557917321014877,0.0497479801401012,0.0568323798543589,-0.1040904873811114,-0.1575781309156132,-0.1028531974076951,-0.0492875962208751,-0.1655344758714714,-0.2034264231607513,0.2202890516145661,-0.1145763863909624,-0.0282133566143387,0.005419427054691,-0.0451096614723589,-0.0237878728196852,-0.2177106905571277,-0.1237447609461151,-0.0980441730752087,0.0447005452779252,-0.0888867945393034,0.0757595526426497,0.0058143767062392,-0.0586404213589912,0.0152408013725206,0.0770258150450778,-0.1341487457950674,0.0051652635218759,-0.2350115409058913,-0.0927782168034433,-0.07459797260934,0.0597148133706201,-0.059261062827494
-0.0177731816304064,0.1558753944628691,0.1286357249186613,-0.1639176600089254,-0.1106117291343386,-0.1369266924161138,0.0773201155237186,-0.1740740088843293,0.0326356434330987,-0.0732036128841541,-0.1631301311047391,-0.0466670862747724,0.0590083669850412,0.065663660822309,-0.0790472552892508,-0.1428376959393559,-0.0757156767343623,-0.036192074356048,-0.1497643979772528,-0.1936990616280107,0.2303869879776098,-0.1077575706031795,-0.0154509161833428,0.0309032714594953,-0.0388803376207669,-0.0032512155311859,-0.1964016865049973,-0.1139850798624524,-0.0828274042306329,0.0633228724638241,-0.0809489745772157,0.0850652012525782,0.0213829452921676,-0.0403066271342435,0.0292447194436376,0.0864117375040705,-0.1155781578312229,0.0284869023998923,-0.2303710638267023,-0.0803822890130502,-0.0566900819862078,0.0795942528126273,-0.0441428693111502
-0.0140784477864059,0.1628730136355286,0.1399391343888273,-0.1433810274804646,-0.0880031112244009,-0.1292713155901699,0.0923738567011443,-0.1574631224395009,0.0424430797610307,-0.0644490506907899,-0.1522334429779746,-0.0371515394610096,0.0710442866616,0.0763635162846551,-0.0536571636745316,-0.1260518303664815,-0.0477128844818561,-0.0211261353367024,-0.1317753076866436,-0.182190004800015,0.2394955994735473,-0.0992251289510225,-0.0016298297070223,0.0563793486797853,-0.0321321583814518,0.0172657804906646,-0.1708500675303115,-0.1027768589038967,-0.0670271499232523,0.0823099563273529,-0.0729745461317258,0.0942579654939354,0.0380046058442039,-0.0226809178244905,0.0449816714243014,0.0982285481107368,-0.0952063773059826,0.0525247260634108,-0.224015631846514,-0.0671436390514414,-0.0371093609152543,0.0989627249369399,-0.0282075415150246
-0.0097192731637148,0.1696251972056776,0.1509232748251508,-0.1219820083247993,-0.0650851839739072,-0.1208784583451241,0.1087278941386378,-0.14024668452816,0.053276610650127,-0.0549983409274195,-0.1405164759246489,-0.0273905815369306,0.0856923431952752,0.0888522432247751,-0.028355825891527,-0.1073711282287409,-0.0192876115247792,-0.0042015873921316,-0.1117454414821737,-0.1689475232431844,0.2477409503636836,-0.0890175910041253,0.013062351221618,0.0813573354826234,-0.024947473087841,0.0373733050162951,-0.1411276512135797,-0.0902366713998867,-0.0509279201559348,0.1013710437777175,-0.0651094456455636,0.1031761578292093,0.0553930205139964,-0.0059437103799533,0.0622403941683801,0.1123510303542677,-0.0733391963796599,0.0768630320667247,-0.2159530581536456,-0.0532105065984079,-0.0161616827040997,0.1177146011007592,-0.011702713628784
-0.0047219038983047,0.1762165239455029,0.1614285932050982,-0.1001022016948752,-0.0422664991726133,-0.1118153261101494,0.1261632972184839,-0.122763046773032,0.0649063859197987,-0.0449827539099544,-0.1281307371986215,-0.0175352408045222,0.1027161071832929,0.1029931484360216,-0.0035817688722995,-0.0870012514034103,0.0091030957945366,0.0144105600180769,-0.0899153888768005,-0.154075033170258,0.2552515911827334,-0.0772195987575201,0.0284094937663386,0.1053547178749824,-0.0174242930987748,0.056693271996017,-0.1074234024391635,-0.0765227474152525,-0.0348289721637147,0.120205016495771,-0.0574931746319752,0.1116674462454114,0.0732357893513436,0.0097395370526842,0.0807572869395764,0.1285872468193855,-0.05033811091455,0.1010722742232334,-0.2062421385498788,-0.0387603196256723,0.0058099690911732,0.1357438935652864,0.0051029862015446
0.0008722419927811,0.1827078169399725,0.171299480204316,-0.0781440861601256,-0.0199574509794578,-0.1021770504682637,0.1444217815738294,-0.1053677216316013,0.077070019991107,-0.034551495887705,-0.1152539125920844,-0.0077384819360955,0.1218134482814389,0.1185948295957528,0.0202376500548432,-0.0651975827996874,0.0370016966471305,0.0344825342922646,-0.0665837030856125,-0.1377307420079898,0.2621539292254858,-0.0639613720809562,0.0441724897078746,0.1279124359161051,-0.0096735729099018,0.074870335636273,-0.07004502660761,-0.0618311950847295,-0.019035222008813,0.1385079364842679,-0.0502546412242781,0.1195928394830363,0.0912029856249508,0.0242211527356242,0.1002225667537085,0.1466833768941674,-0.0266099418622446,0.1247218286165126,-0.1949925180106747,-0.0239946625508933,0.0284342535313431,0.1529452889163682,0.0219269854440723
0.0070050203000692,0.1891340807919438,0.1803877651103109,-0.0565197452965028,0.0014418530515445,-0.0920843104456014,0.1632127543559252,-0.0884227372619591,0.0894822617422799,-0.0238675137576376,-0.1020851672737554,0.0018482079131214,0.1426259299112035,0.1354155441394726,0.042699701678905,-0.042258002346823,0.0639636875870566,0.0557345160614558,-0.0421002025182222,-0.1201251068301317,0.2685679021712652,-0.049416476090444,0.0600958061211048,0.1486093855943789,-0.0018159871011935,0.0915817648753842,-0.0294161605813487,-0.046390704251476,-0.0038479714340214,0.1559806355159271,-0.0435083493762762,0.1268300082764278,0.1089563160038608,0.037373786423858,0.1202882760361631,0.16633059654274,-0.0025945400362375,0.1473925806211091,-0.1823626803096809,-0.0091332171451198,0.0513208667726432,0.1692154438600232,0.0384803502339361
0.0136006844227779,0.1955040630714703,0.1885564902630136,-0.03563936712052,0.0215529151683096,-0.0816798780290714,0.1822217117100869,-0.0722857358758364,0.1018454395734859,-0.013102796635161,-0.0888394972133804,0.0110779220549716,0.1647499259063877,0.1531695453413693,0.0634385397315559,-0.0185140863576816,0.0895703502389768,0.0778415021719263,-0.0168572010776816,-0.1015161025249255,0.2746030672848373,-0.0337979226717453,0.0759146998522741,0.1670751521975688,0.00602165308371,0.1065458362102193,0.01393095824619,-0.030455951481597,0.0104441261395033,0.1723361700947024,-0.0373511575223498,0.1332758667483925,0.1261585620369188,0.0490925930495499,0.1405778734489568,0.1871738000762268,0.0212488891998544,0.1686888148151835,-0.1685561151453566,0.0055930605240237,0.0740702394769299,0.1844545381180515,0.0544755861166468
0.0205657929121733,0.2018013346950131,0.1956838157783179,-0.0159000050476791,0.0400289660627785,-0.0711242600358357,0.2011196206901968,-0.0572992600168864,0.1138602138526424,-0.0024333850974949,-0.0757413635781875,0.0198110354050268,0.1877490359595883,0.1715351572863508,0.0821357541547173,0.0056788795900617,0.1134402293644574,0.100442060897719,0.0087209761875844,-0.0822024150975849,0.2803552075655671,-0.0173527249001992,0.0913627725106815,0.1830004710944246,0.013710181932332,0.1195284995685532,0.0593672383858112,-0.0142999953807423,0.0235734663641992,0.1873069837403586,-0.0318598011833223,0.1388483754356563,0.1424829468882946,0.0592970060367967,0.1606970526458937,0.208821861358609,0.0444562347281624,0.1882489498245772,-0.153815808094301,0.0199492227951251,0.0962832226938824,0.1985680482088413,0.0696343369009157
0.0277899619508489,0.2079867158824665,0.2016668334289746,0.0023249554617415,0.056563581257205,-0.0605906485641287,0.2195728608323982,-0.043780646947046,0.1252361632883827,0.0079656906652251,-0.0630178816497402,0.0279174510915177,0.211167317826619,0.1901642612113325,0.0985288323154686,0.0299526198652633,0.1352389464613199,0.1231486151214304,0.0341897401189316,-0.0625147962832304,0.2859035442886004,-0.0003551082449217,0.1061795243242577,0.1961450589793798,0.0211218924599207,0.1303481708597209,0.1061825566431051,0.0017939977688732,0.0353009245767278,0.2006516275845821,-0.0270893273243753,0.143487564264139,0.1576220792295194,0.0679320464066658,0.1802453647213569,0.2308590413561164,0.0665730628127656,0.205754742122071,-0.1384172821269879,0.0337037476326718,0.1175704864636573,0.2114686760999475,0.0836946795312482
