46_71_beat1,46_71_beat2,46_13_beat3,46_13_beat4,46_61_beat5,46_61_beat6,46_61_beat7,46_39_beat8,46_31_beat9,46_31_beat10,46_31_beat11,46_33_beat12,46_49_beat13,46_49_beat14,46_74_beat15,46_74_beat16,46_75_beat1,46_18_beat2,46_38_beat3,46_32_beat4,46_6_beat5,46_6_beat6,46_6_beat7,46_5_beat8
0.0002508150706963,-0.1007081309066967,-0.228871474361722,0.0197144677606032,0.0442104280275846,-0.2138373285927886,-0.1416497766006908,0.0312414272834101,-0.0699003094371794,-0.0066118019008958,-0.0824583878324658,0.0203901572513065,-0.0581817304973125,-0.0319885096462638,-0.1129413606524346,-0.0468241787802452,,,,,,,,
0.0138269512679311,-0.087186509906321,-0.2087399258517697,0.0323441224417713,0.0563030321556191,-0.2067223768043016,-0.1290293833716285,0.0397291084462895,-0.0518405737282829,0.004307615228814,-0.0656028851624935,0.0272270082326422,-0.0444685398985776,-0.0167932055571027,-0.1020231200351582,-0.0260144377594225,,,,,,,,
0.0286024294180548,-0.0720003926685735,-0.1884364321110722,0.0460003400611202,0.0693573488486977,-0.1982821942023246,-0.116108834435356,0.0493104820001642,-0.033327717367509,0.0165881482072181,-0.0490500458450531,0.0343059118002558,-0.0291693121911842,6.523407948098372e-05,-0.0890220637855664,-0.0052651524265542,,,,,,,,
0.0442959130542709,-0.0553878335326793,-0.168334545779941,0.0604459819328278,0.0831017706795583,-0.1886402572943869,-0.1031358544256885,0.0598185906816656,-0.0147166913552281,0.0300269666141509,-0.0331665929035917,0.0415006706061324,-0.0125192797204658,0.01833281766419,-0.0741014069317835,0.0149965138867181,,,,,,,,
0.060591437909597,-0.037635996813047,-0.148803644247034,0.0754138804423815,0.0972410894647782,-0.1779534479639796,-0.0903629065352625,0.0710553576305046,0.003625874723681,0.044379478970184,-0.0183028040547135,0.0486770983999927,0.0052016416372456,0.0377054005620613,-0.0574870018063981,0.0343524337529942,,,,,,,,
0.0771480632810588,-0.0190730753385029,-0.1301966284375494,0.0906149574913871,0.1114653986664628,-0.1664092377343362,-0.0780388954064425,0.0827982289785256,0.0213335648966907,0.0593659229518363,-0.0047811002339477,0.0556965859022876,0.023676330720457,0.0578364748041912,-0.0394625733026276,0.0524072593768511,,,,,,,,
0.0936107320944029,-5.8365222413012894e-05,-0.1128384285045909,0.1057473552237649,0.1254595995225843,-0.1542216508427588,-0.0664010447115567,0.0948073956200241,0.0380522368819798,0.0746795282115557,0.007114151048656,0.0624199236777626,0.0425595702453899,0.0783469472387938,-0.0203625014142651,0.068801184465585,,,,,,,,
0.1096218568876555,0.0190290855829872,-0.0970158473333474,0.1205061659458315,0.1389131014820704,-0.1416260950880823,-0.0556673167983948,0.106833324760039,0.0534516767763606,0.0899959116559718,0.0171452069092514,0.0687112443704031,0.061488422714992,0.0988365617973026,-0.0005623696988395,0.0832211446933106,,,,,,,,
0.1248330959123441,0.0378027443058176,-0.0829691747820732,0.1345933105852182,0.1515292968417451,-0.1288732153357596,-0.0460297031946155,0.1186243288489361,0.0672363011013644,0.1049832830094744,0.0251275968142425,0.0744419380611131,0.0800934215336775,0.1188965062297043,0.0195323679057994,0.0954099834782016,,,,,,,,
0.1389167664401915,0.0558812041861338,-0.0708858829382363,0.147727108729335,0.1630344082978364,-0.1162219870781811,-0.0376486548930307,0.1299339086148223,0.0791544229883371,0.1193129854360947,0.0309346690545165,0.0794943935908702,0.0980100670724448,0.1381226540280256,0.0394991299999314,0.1051732423484655,,,,,,,,
0.151576363588906,0.07290054521032,-0.060896578268561,0.1596511074626597,0.1731853541449065,-0.1039323201317193,-0.030648846611189,0.1405276286652511,0.0890056936447899,0.1326698768438197,0.034499974727486,0.0837654259681013,0.114890094915294,0.1561288380329568,0.0589117942045927,0.1123833809695118,,,,,,,,
0.1625557108420786,0.0885258704786614,-0.0530732528515811,0.1701417875657291,0.1817763431637618,-0.0922574799814326,-0.0251163872492893,0.1501893176580832,0.0966464445981393,0.1447620730405085,0.0358175319109633,0.0871692649752903,0.1304120002111041,0.1725595381919613,0.0773545022639914,0.1169813785851532,,,,,,,,
0.17164635729535,0.1024615035238908,-0.047429754360363,0.1790148393845014,0.1886439916972476,-0.0814366526430598,-0.0210975071360152,0.1587264280424874,0.1019927797543504,0.1553296219823406,0.0349400982885509,0.0896400013241649,0.1442903556145484,0.1871013921784902,0.094435043002493,0.1189758052427885,,,,,,,,
0.1786929477936358,0.1144594251626619,-0.0439242910359265,0.1861297907313879,0.1936708406744497,-0.0716879758524319,-0.0185986778780276,0.1659744394125336,0.1050213892365121,0.1641517546421192,0.0319756449449003,0.0911334120716867,0.1562835439538593,0.1994930013051442,0.1097972020354595,0.1184395685926794,,,,,,,,
0.1835964150439465,0.1243256455566738,-0.0424637088645456,0.1913928680573748,0.1967872332450972,-0.0632023340984952,-0.017588057598727,0.1718002404694221,0.1057681708555979,0.1710524558017243,0.0270822672528017,0.0916281142742153,0.166199631492165,0.2095326009599371,0.1231315391605796,0.1155046336497085,,,,,,,,
0.1863149667175161,0.131924336176476,-0.0429092261240016,0.194758071576079,0.1979715885523542,-0.056138168955495,-0.0179981060944621,0.1761044731605487,0.1043248429204063,0.175904208070969,0.0204617928355604,0.0911260230965347,0.1739002238955784,0.2170832881983939,0.1341841607500633,0.1103550752184841,,,,,,,,
0.1868629557519061,0.1371796752524691,-0.0450832851742691,0.1962265369655733,0.1972491698127817,-0.0506174936710695,-0.0197291821329747,0.1788228648258979,0.1008338087842556,0.1786298738705533,0.0123523553104046,0.0896521163807611,0.1793022651478657,0.2220756399215072,0.1427631839568475,0.1032188555545178,,,,,,,,
0.1853078206769207,0.1400754786175293,-0.0487771798932931,0.1958443337331245,0.1946894928433138,-0.0467232286957601,-0.022653918259376,0.1799266070657864,0.0954815863421724,0.1792027824635358,0.0030202005874867,0.0872535310946546,0.1823778501468112,0.2245077018349675,0.1487427294177469,0.0943587260065722,,,,,,,,
0.1817653591724559,0.1406527879392796,-0.0537591342252514,0.1936989082550897,0.1904025540220064,-0.0444979003802323,-0.0266221651946488,0.1794218618110557,0.0884911445249427,0.1776451737638607,-0.0072490154649891,0.0839980375914759,0.1831522160696929,0.224442469083346,0.1520644168935822,0.0840626356680981,,,,,,,,
0.1763936489926999,0.1390056658360298,-0.0597825363808495,0.1899144157760014,0.1845340757059196,-0.0439436754491311,-0.0314663054481161,0.1773484856880795,0.0801134958697094,0.1740252120323746,-0.0181591894683251,0.0799719549832934,0.1817001495118963,0.222003103214884,0.1527364631062157,0.0726339983428124,,,,,,,,
0.16938595553084,0.1352755007657081,-0.0665940681058182,0.1846462014531596,0.177259974806244,-0.0450236445809823,-0.0370067509167963,0.1737780649432286,0.0706188833284772,0.1684528186837785,-0.02941275479834,0.07527758512752,0.1781410926640097,0.2173662285524026,0.1508305848718193,0.0603821274998364,,,,,,,,
0.1609629674195978,0.1296441543051024,-0.0739415044287992,0.1780746894585363,0.1687802594335365,-0.0476642229823732,-0.0430574587975244,0.1688113480428957,0.0602878753181611,0.1610745856502202,-0.0407194583206458,0.0700302538481782,0.1726332524234913,0.2107537186833168,0.1464769888292071,0.0476131030603114,,,,,,,,
0.1513646856094928,0.122326291321227,-0.0815809934144644,0.1703989256139602,0.1593125521037336,-0.0517585056008923,-0.0494313212036351,0.1625751554557017,0.0494026504305194,0.1520680231528483,-0.0518047075769717,0.0643550561655808,0.1653670141369554,0.202423418200541,0.1398577802337483,0.0346212886024089,,,,,,,,
0.1408422628697561,0.1135612228166239,-0.0892836560629465,0.1618299972260423,0.1490854283908042,-0.0571703989018386,-0.0559453040593023,0.1552188398384656,0.0382387165797645,0.1416353740671374,-0.0624172726803912,0.0583834075328758,0.156557941375122,0.1926592469571711,0.1311991486562756,0.0216816762457937,,,,,,,,
0.1296500546437408,0.1036045664838916,-0.0968413732299135,0.1525845274140727,0.1383317490175538,-0.0637393476969629,-0.062425228358659,0.146910367734661,0.0270572722426751,0.1299971975896433,-0.0723361341594057,0.0522495053524272,0.1464396105525282,0.1817611087223825,0.1207626911153281,0.0090432007336441,,,,,,,,
0.1180381028398755,0.0927199965104597,-0.1040716500673512,0.1428784135036536,0.1272821523789563,-0.0712854812825804,-0.0687101007988118,0.1378320971496417,0.0160983823056148,0.117385893406086,-0.0813762784820829,0.0460868043104013,0.1352564903916799,0.170034981116875,0.1088362176858308,-0.0030768658173148,,,,,,,,
0.1062452347351222,0.081171316944793,-0.1108214705937174,0.1329209525639248,0.1161588637645466,-0.0796150148616098,-0.0746559112492977,0.1281763332658344,0.0055751090469866,0.1040393086847549,-0.0893932600314165,0.0400246052644589,0.1232570367904277,0.1577835077593175,0.0957243563749696,-0.0144973523860495,,,,,,,,
