22_5_beat1,22_95_beat2,22_95_beat3,22_76_beat4,22_77_beat5,22_77_beat6,22_31_beat7,22_31_beat8,22_96_beat9,22_84_beat10,22_33_beat11,22_99_beat12,22_48_beat13,22_48_beat14,22_58_beat15,22_58_beat16,22_19_beat17,22_19_beat18,22_19_beat19,22_14_beat20,22_45_beat21,22_41_beat22,22_41_beat23,22_6_beat24,22_79_beat25,22_79_beat26,22_15_beat1
-0.0123258751357084,0.0191103139649375,0.0102693156091163,0.0049901663778206,0.0053694002949131,-0.0169524920862367,-3.852017425168312e-06,-0.0146659858598681,-0.0118075754500627,-0.015728210491648,-0.0160226545446917,0.0064203285348508,0.0017137953050671,-0.0106364801600448,-0.0051698305167406,0.0161371431500579,0.0091221644931628,-0.009607646461496,-0.0120913125263631,-0.0018208648252258,0.0344919136192572,-0.0104396586608101,0.0089378202472548,-0.0050601868887198,0.0233539899391901,-0.023106823516158,
-0.0097410810692969,0.020993280465288,0.0125335431064336,0.0071300661843352,0.0072773383524421,-0.0147964911354623,0.0027448835284756,-0.0119183994530292,-0.0102691198908198,-0.0110626502243457,-0.0131040526620773,0.0069930305075712,0.0053325512753234,-0.0074031924957411,-0.0026447252881999,0.0183429352150481,0.0101229426879684,-0.0083523027741681,-0.0106550084951526,0.000816737040583,0.0369088483607927,-0.0099832499790874,0.0096612525176592,-0.0015961658559327,0.025636257585859,-0.0209606438444111,
-0.0071152691802997,0.0230030681948406,0.0146271724314936,0.0089606290620836,0.008908147103383,-0.0124729303594088,0.0053589740815083,-0.0090415886778956,-0.0086663170562375,-0.0063508215420376,-0.0100880342966025,0.0078621942987279,0.0087392295126865,-0.0040447097179614,-0.0001723990264261,0.020366841572086,0.011169920605159,-0.0069930815539011,-0.0091889121339678,0.0032701614532622,0.039112171138834,-0.0094423798503941,0.0102791560755504,0.0017956702314533,0.0279861671125722,-0.0186544425063972,
-0.0044943607720893,0.0251152815048434,0.0165226882513751,0.0104779086222342,0.0102508193358989,-0.0100116811202598,0.0078055592253621,-0.0060750833350474,-0.0070216334716576,-0.0016436919609422,-0.0070104310516557,0.0090260147209296,0.0118849924282263,-0.0006113013433957,0.0022095505722405,0.0221867699092734,0.012250974580966,-0.0055500758039039,-0.0077151953482654,0.005512379019511,0.0411154476042021,-0.0088196062009026,0.0107957253800222,0.0050816567857385,0.0303738169550409,-0.0162274945485703,
-0.0019222135204639,0.0273008899198167,0.0181976457599334,0.0116853564152678,0.0113014698754658,-0.0074462616554526,0.0100562875462588,-0.0030597037895956,-0.0053587851258586,0.0030096040595714,-0.0039084090059249,0.0104762533982069,0.0147277877432422,0.0028449436144568,0.0044662632855305,0.0237854055645493,0.0133521960903384,-0.0040451631354178,-0.0062558409773883,0.0075220677408318,0.0429337175329615,-0.0081193653098696,0.0112166555800504,0.0082320658140568,0.0327657256118056,-0.0137232179525167,
0.0005604786440814,0.0295272607701184,0.0196351200840986,0.0125934331121608,0.0120631927923057,-0.0048130553368493,0.0120879239186851,-3.651033544752788e-05,-0.003702125336008,0.0075626662705662,-0.0008197743934843,0.0121983757062665,0.0172333340861454,0.0062715353446663,0.0065664834833248,0.0251505198597027,0.0144584471785731,-0.002501438316154,-0.0048320814441544,0.0092839932604316,0.0445829685406143,-0.0073478938155357,0.0115489769300306,0.0112215199563243,0.0351261424299523,-0.0111877666136041,
0.00291715500222,0.0317593037212268,0.0208239808433653,0.013219018224564,0.0125457152269838,-0.0021504157055126,0.0138827893054437,0.0029542346265647,-0.0020760050869701,0.0119725974687237,0.0022177643853899,0.0141718483777156,0.0193758519435045,0.0096170264253687,0.0084832946931795,0.0262751311693934,0.0155539523852195,-0.0009426085823574,-0.003463872921057,0.0107891972420531,0.0460796243552393,-0.0065130941674879,0.0118008544695586,0.0140292804974272,0.0374184321294495,-0.0086685178642314,
0.0051161955966425,0.0339606798359577,0.0217589889534397,0.0135846452821718,0.0127648674005925,0.0005023096202983,0.0154290234607418,0.0058740573192055,-0.0005041286601005,0.0162006287652241,0.0051673641840898,0.0163705956559934,0.0211385224324445,0.0128324288903334,0.0101947003857235,0.0271575188308377,0.0166229006057293,0.0006076266128821,-0.0021694211889189,0.0120349938861266,0.0474400587302501,-0.0056243477460643,0.0119813589772485,0.0166394184904388,0.0396064701770165,-0.0062125183121347,
0.0071315433829167,0.0360950272692186,0.0224407190324145,0.0137175941504755,0.0127418938371068,0.0031058006630628,0.0167206673293615,0.0086871852987777,0.0009910724910629,0.020212597112574,0.0079938269749916,0.0187636060509815,0.0225136666343229,0.0158725559180775,0.0116840361864951,0.027801094230048,0.0176500311253614,0.0021261896628835,-0.0009647725467388,0.0130247808778087,0.0486801460540926,-0.0046922816882425,0.0121002164835888,0.0190408799155,0.0416559885890071,-0.0038649518770356,
0.008943126007756,0.0381271571460274,0.0228753165667355,0.0136488756825117,0.0125026350697581,0.0056217953228784,0.0177575682698126,0.011361355503379,0.0023890254552294,0.0239792774083869,0.0106643726515775,0.0213156758323332,0.0235026482667204,0.0186972421245381,0.012940205481901,0.0282141372836976,0.0186211799795896,0.0035912117760075,0.0001365199562299,0.0137676768738025,0.0498148589661366,-0.0037284969752209,0.0121675445737503,0.0212274561735683,0.0435358169234684,-0.0016676910246159,
0.0105370709482876,0.0400241764150701,0.0230741041576463,0.0134121461226034,0.0120766120561694,0.0080140912109237,0.0185451172929492,0.0138684959163587,0.0036715406846518,0.02747657707412,0.0131493832078611,0.023988269754958,0.0241155119249205,0.0212724013353211,0.013957737188409,0.0284094100363693,0.0195237656835237,0.0049825736097822,0.0011236478725022,0.0142780028410167,0.0508579218003182,-0.0027452665214161,0.0121935842606695,0.0231976704386293,0.0452189706284114,0.0003420133565581,
0.0119057161572852,0.0417564992488301,0.0230530555660342,0.0130425896108201,0.0114960471604162,0.010249484011327,0.0190938330958032,0.0161852643904679,0.0048232579223124,0.0306856054277931,0.0154230954032804,0.0267404744984665,0.0243703777019876,0.0235708869891939,0.0147366710268816,0.028403662181208,0.0203471970356127,0.0062823826797679,0.0019887123161186,0.0145746290487296,0.0518215265334925,-0.0017552128567233,0.0121884363244548,0.0249545888061182,0.0466835479920437,0.0021326557665213,
0.0130474260727488,0.0432987145853437,0.0228321598054341,0.0125758067881107,0.0107948558904352,0.0122986106139565,0.0194188125794944,0.0182934335661846,0.0058319984087049,0.0335926332964149,0.0174642186212052,0.0295300162344561,0.0242926204566505,0.0255731276843527,0.0152822817423606,0.0282170459525746,0.0210831899226654,0.0074753735290646,0.0027268014991963,0.0146802131877254,0.0527161152841386,-0.000770975531997,0.0121618106924084,0.0265055631531621,0.0479134071124592,0.0036793754004716,
0.013966229566139,0.0446302843596226,0.0224347001298014,0.0120467459103422,0.0100076426669008,0.0141366697500335,0.0195390715741311,0.0201801161476814,0.0066890122754815,0.0361889601137386,0.0192564553168458,0.0323143108635745,0.0239138681466129,0.0272675185249248,0.0156046591149011,0.0278724599849117,0.0217259846055245,0.0085492198889345,0.0033359825145839,0.0146203578562018,0.0535502305249638,0.0001951213699437,0.0121227967033901,0.0278619105362518,0.0488986050051301,0.0049646033659173,
0.0146713019294665,0.0457360545261544,0.0218864743842194,0.0114887101062745,0.0091687318481637,0.0157439982176585,0.0194768024785758,0.0218378299443543,0.0073891141719953,0.0384707062831456,0.0207889033023344,0.0350515139565522,0.0232708583337443,0.0286505575686793,0.0157181651318617,0.0273948433230772,0.0222724596155625,0.0094947515195593,0.0038172114494271,0.0144227174378811,0.0543304313108876,0.0011313912414918,0.0120796610183563,0.0290385321236688,0.0496355916792432,0.0059784414029349,
0.0151763172429174,0.0466065687983216,0.0212149838213162,0.0109324705510722,0.0083112621858531,0.0171064866871115,0.0192565773242229,0.0232644069556239,0.0079307045439842,0.0404385479924064,0.0220563221193274,0.0377015373675561,0.0224041950952173,0.0297267255427408,0.0156407931857525,0.0268104417393546,0.0227221429177983,0.0103060719501919,0.0041741680304217,0.0141160851466425,0.0550612712512419,0.0020270863463558,0.0120396785863653,0.0300534733587254,0.0501271622889996,0.006718766911135,
0.0154987004077233,0.0472381828070064,0.0204486171506186,0.0104055105007016,0.0074663690083442,0.0182158252271095,0.0189045253114922,0.0244627553046789,0.0083156784086715,0.0420974101413142,0.0230592497980052,0.0402270008523789,0.0213570500871668,0.030508115818188,0.0153934565150144,0.0261460687971133,0.0230771251933474,0.010980576812932,0.0044130228169874,0.0137294906935178,0.0557453319032681,0.0028726689604519,0.0120090005479945,0.0309274264613888,0.0503821799312686,0.0071910698519901,
0.0156588098172935,0.0476329838095166,0.0196158553278883,0.0099314195117115,0.0066624739197306,0.0190695748292209,0.0184475131379745,0.0254404869505057,0.0085492277605376,0.0434561308102572,0.0238039612109918,0.0425940897217441,0.0201738514018378,0.0310138301591499,0.0149992342534502,0.0254283836508342,0.0233418837882781,0.0115188757742653,0.004542146475533,0.0132913376471456,0.056383303895837,0.0036600433466355,0.0119925613574035,0.0316831766019744,0.0504150900214243,0.0074080370039443,
0.0156790821520524,0.0477985278893868,0.0187445204815241,0.0095294509638949,0.0059246968727755,0.0196710671081079,0.017912354509488,0.0262094277562638,0.0086395477136335,0.0445271079903167,0.0243022647537701,0.0447732934195399,0.0188990021883541,0.0312691637310541,0.0144826033809696,0.0246832063647397,0.0235230289306858,0.0119246241202707,0.0045717718844534,0.0128286071472181,0.0569741074819242,0.0043827406519123,0.0119940258280949,0.0323449941440553,0.0502452542111118,0.0073889077699281,
0.0155831702150442,0.0477474125425409,0.0178610895180139,0.0092142494529828,0.00527440034538,0.0200291398464043,0.0173250722516781,0.0267850295822279,0.0085974599666265,0.045325936335845,0.024571139929893,0.0467400047062797,0.0175756678852027,0.0313046100088034,0.0138686836097227,0.0239348895849785,0.0236289861387245,0.0122042727661483,0.0045136207273376,0.0123661512756737,0.057515044345524,0.0050360501021614,0.0120157753422653,0.0329379772078963,0.0498961373547234,0.0071586330261825,
0.0153951031745619,0.0474967074573534,0.0169900894821023,0.0089957479948907,0.0047288702369539,0.0201577210048342,0.0167102326449948,0.0271857065096874,0.008435970011324,0.0458710386927604,0.0246322242830264,0.048474964582001,0.0162446665158608,0.0311547223140303,0.013182519887497,0.0232057627773122,0.0236696302823072,0.0123667477721031,0.0043805068173627,0.0119260952224707,0.0580019732464117,0.0056170914563801,0.0120589311777742,0.0334873513452709,0.0493943849809726,0.0067468741927687,
0.0151384961431606,0.0470672700315132,0.0161535878296452,0.0088792285634855,0.0043011332056459,0.0200752781364886,0.0160903672699068,0.0274321189940593,0.0081697765682187,0.0461832942856495,0.0245111637025976,0.0499645439179035,0.0149434910620296,0.0308568734871576,0.012448423902683,0.0225156620552321,0.0236558875204628,0.0124230723015903,0.0041859286415382,0.0115273625753063,0.0584295032993737,0.0061248255655142,0.0121234118453407,0.0340177361872861,0.0487688310279995,0.0061868837101907,
0.014835832796252,0.0464829746529031,0.0153707865814111,0.0088655335497254,0.0039999056704578,0.0198041537609828,0.0154854930817683,0.0275464306084462,0.0078147529360369,0.0462856628856069,0.0242368451728393,0.0512008587022754,0.013705486732062,0.0304499584444474,0.0116893919312745,0.0218815550278363,0.0235993213585676,0.0123859453127849,0.0039436635019926,0.011185332825757,0.0587912001362424,0.006560002026552,0.0122080205124767,0.0345523923341783,0.0480494762489774,0.0055143104014511,
0.0145078408235685,0.0457698859923726,0.0146577250553538,0.008951410541,0.0038296657556802,0.0193698101197381,0.0149127369449985,0.0275515620169143,0.0073874202443498,0.0462028021902048,0.0238405353210796,0.0521817215795538,0.0125591992942414,0.0299730859036816,0.010926611815951,0.0213172662831763,0.0235117184345769,0.0122692921002289,0.0036673751523355,0.0109116347551354,0.05907980166153,0.0069250452633599,0.0123105580190548,0.0351124652717421,0.0472664767332202,0.0047659738227459,
