13_28_beat1,13_28_beat2,13_28_beat3,13_30_beat4,13_30_beat5,13_30_beat6,13_30_beat7,13_30_beat8,13_4_beat9,13_84_beat10,13_84_beat11,13_84_beat12,13_26_beat13,13_26_beat14,13_2_beat15,13_2_beat16,13_2_beat17,13_2_beat18,13_2_beat19,13_9_beat20,13_9_beat21,13_9_beat22,13_9_beat23,13_3_beat1,13_3_beat2
-0.0296960959551419,-0.0179748724030386,-0.014718640483538,0.1001679541487461,-0.0994830151886097,-0.1097006257436232,-0.1228838455044797,-0.1565024317030385,0.3062400034998238,-0.0987015257368457,-0.0880351921912112,0.0868610831425736,-0.1269851632156884,-0.0581863815399155,0.018888250405768,-0.0392782018427199,0.0045455865708916,-0.1203875745979221,-0.0830205000445052,-0.049195786159245,-0.0169620044378006,0.0579709332346684,0.0642480636289231,,
-0.0010760347914076,-0.0032379579841795,-0.0027848568148958,0.1173509033350907,-0.0825325170992399,-0.0939928252194544,-0.1081127235463028,-0.1435867515375213,0.3245149672416558,-0.0970278124986267,-0.0865436020873196,0.0978027855238197,-0.1166809518151797,-0.0434780879794209,0.0235161202441127,-0.0344861781918732,0.0193888288352891,-0.1026193403472342,-0.0660731085325464,-0.0342596309564753,-0.0017730678247317,0.0717118683701284,0.0766436454141473,,
0.0262319380314013,0.012051930975535,0.0094697646629595,0.1342881442725091,-0.0650589556608221,-0.0775798182105956,-0.0923042270198153,-0.129231705898313,0.3412852116716255,-0.0954878135354121,-0.0850055434747809,0.1090593046240929,-0.1058179046120437,-0.0279474410266177,0.0290836862193839,-0.0288224393025586,0.0333189014600018,-0.0842847741908438,-0.0481317636951308,-0.0192882514132817,0.0137433223526599,0.0862440036484017,0.0902439414656394,,
0.051819454980335,0.0276284927117011,0.0218042009273675,0.1506815523334121,-0.0473919841477421,-0.0607583738153285,-0.0757371844402145,-0.1136534630797711,0.3564271640088033,-0.0940961443840326,-0.083443364070388,0.1203991927788358,-0.0945442541263613,-0.0118644629424677,0.0354644785987894,-0.0223815230388328,0.0461438390606338,-0.0657123420818719,-0.0294823984729425,-0.0045480135393517,0.029320595596994,0.1013447495688277,0.1047400053611364,,
0.0753300286205638,0.0432101783965806,0.0339730475647019,0.1662493794404335,-0.0298670922242216,-0.0438376177574027,-0.0587131481920348,-0.0970997316386452,0.3698589498129204,-0.0928635893287825,-0.0818802809768195,0.131586880758162,-0.0830185230205217,0.0044826490354222,0.0425043208296798,-0.0152782002409684,0.0577014535999261,-0.0472342387861603,-0.010427245337017,0.0097004821737406,0.0446917718238301,0.1167748434797944,0.1197933183011847,,
0.0964684590909772,0.0585084756639868,0.0457329964290712,0.1807332005325928,-0.0128165448723941,-0.0271308894736528,-0.041548855020938,-0.0798442591750753,0.3815391960818974,-0.0917969614821497,-0.0803396974585967,0.1423899540539581,-0.0714062059038429,0.0207958504713353,0.0500274399598734,-0.0076452166346403,0.0678616132824521,-0.0291779022216307,0.0087233904738194,0.0232093216551343,0.0595969917120531,0.1322849949863449,0.1350457834568725,,
0.1150072900294795,0.0732365722219089,0.0568493416923509,0.1939038472100722,0.0034394877778503,-0.010947367018368,-0.0245679867622626,-0.0621801397561609,0.3914643650401461,-0.0908991139257747,-0.0788445157370936,0.152586252245712,-0.059876336440048,0.0367761550969624,0.0578431753260862,0.0003697840807163,0.0765272805431581,-0.0118577973496984,0.0276596336598682,0.0357496896259083,0.0737907030992823,0.1476229835366767,0.1501306076227681,,
0.1307902550527265,0.0871179506899927,0.0671022181392797,0.2055661173294936,0.0186012500322723,0.0044161727075786,-0.0080925757549047,-0.0444122203416713,0.3996648613131518,-0.0901690949071219,-0.0774164748545366,0.1619704915761021,-0.0485980440245329,0.0521326777428359,0.0657529617031154,0.0086080396193388,0.0836343675101755,0.0044322312904437,0.0460804249536031,0.0471175189194467,0.0870481866990206,0.1625408551254399,0.164683577654581,,
0.1437328211857473,0.0998944806380437,0.0762922925504519,0.2155621168148293,0.0323968478471554,0.0186831023025661,0.0075655854005864,-0.0268489544603819,0.4062001984172232,-0.0896024340068487,-0.0760755405851927,0.1703601443484025,-0.0377371837720243,0.0665913590690736,0.0735572668259289,0.0169039910311948,0.0891505240479378,0.019425774977671,0.0637014130144458,0.0571381624545197,0.0991711502828108,0.1768018570324682,0.1783542196634301,,
0.1538200687274405,0.111333630665528,0.0842456632311827,0.2237731651214663,0.0445885553527399,0.0316038771934928,0.0221131758927138,-0.009794084005446,0.411153532491891,-0.0891915409770114,-0.0748393712383097,0.1776003513850806,-0.0274531026707576,0.0799029368441215,0.0810621857738582,0.0250899542461057,0.0930730177763974,0.0328896253301583,0.0802620134838672,0.0656699222182874,0.1099921801509585,0.1901867668372888,0.1908163417941596,,
