10_56_beat1,10_44_beat2,10_66_beat3,10_14_beat4,10_86_beat5,10_67_beat6,10_94_beat1,10_68_beat2,10_98_beat3,10_98_beat4,10_36_beat5
0.041754325040113,0.0831032941113996,0.0481445608946411,0.1195850741587414,0.0294250685418316,0.0932379333434787,,,,,
0.0500225609849211,0.0896316681391167,0.0569818451804728,0.123124303027159,0.0319174462212,0.0986443001417087,,,,,
0.0575098753030311,0.0947269361058822,0.0649730805880647,0.1245737500703023,0.0339055960445312,0.1027649425563876,,,,,
0.064124972715333,0.0983130561766796,0.0720281471814573,0.1240625311227758,0.0353940474622813,0.1056037548803432,,,,,
0.0697928234118248,0.1003485210944772,0.0780760244396076,0.1217680422021557,0.036398469584286,0.1071918761719781,,,,,
0.0744560661925539,0.1008274055328874,0.0830656731620632,0.1179089921200435,0.0369445836329265,0.1075851786573912,,,,,
0.0780759873982769,0.0997793368590847,0.086966400362543,0.1127371375570584,0.0370668346950134,0.1068609418946446,,,,,
0.0806330637495329,0.097268411729109,0.0897677031549531,0.1065280221096173,0.0368068733856725,0.1051138774751715,,,,,
0.0821270620531465,0.0933911118057116,0.0914786045174379,0.0995710634037138,0.0362119000490925,0.10245168725977,,,,,
0.0825766938077252,0.0882733000443714,0.0921265107992156,0.0921593601342849,0.0353329241691112,0.0989903485244597,,,,,
0.082018829080286,0.0820664047743831,0.0917556372329878,0.0845796013730842,0.0342229899687357,0.0948493233789125,,,,,
0.0805072824619761,0.0749429217108817,0.0904250627404234,0.0771024532311678,0.0329354162764955,0.090146888371909,,,,,
0.0781111944541151,0.0670913830470767,0.0882064879571396,0.0699737740020108,0.0315220952631857,0.0849957733955123,,,,,
0.0749130434768803,0.0587109568942168,0.08518177976925,0.0634069699810737,0.0300318911822755,0.0794992862574657,,,,,
0.0710063359063544,0.0500058487764254,0.0814403913017838,0.0575767525034635,0.0285091772606841,0.0737480798648907,,,,,
0.0664930336880087,0.0411796789993854,0.0770767479297897,0.0526144953130228,0.0269925467299389,0.0678176925483555,,,,,
0.0614807909401753,0.0324300051856874,0.072187687097743,0.0486053236324642,0.0255137327310726,0.0617669590593743,,,,,
0.0560800818338926,0.0239431485389706,0.0668700326385925,0.0455869957168364,0.0240967710450935,0.0556373510717062,,,,,
0.0504013104573536,0.0158894665973978,0.061218374062929,0.0435505673537975,0.0227574383613429,0.0494532626283043,,,,,
0.0445519977649224,0.0084191957630929,0.0553231096137856,0.0424427623413252,0.0215029959616917,0.0432232091091498,,,,,
0.0386341401407923,0.0016589650658177,0.0492687998242174,0.0421699096508026,0.0203322632663497,0.0369418598613079,,,,,
0.0327418284690089,-0.0042909404936293,0.0431328660184956,0.0426032526835011,0.019236037013383,0.0305927778634023,,,,,
0.0269592062792794,-0.00935851215333,0.0369846553328511,0.0435853891861027,0.0181978597256713,0.0241516991997799,,,,,
0.0213588311556031,-0.0135011131171519,0.0308848800519626,0.0449375630231311,0.017195125616876,0.0175901554597904,,,,,
0.0160004860718106,-0.0167057270883118,0.0248854242691171,0.0464675023000095,0.0162004934860972,0.0108792270878915,,,,,
0.010930467870191,-0.0189883686839819,0.0190294954508115,0.0479774840042585,0.0151835553583945,0.0039932167060126,,,,,
0.0061813599862853,-0.0203926837809394,0.013352083262921,0.0492723051185995,0.0141126883188336,-0.0030869523243763,,,,,
0.0017722768829486,-0.020987786578555,0.0078806741182265,0.0501668549307088,0.0129569972499496,-0.0103707781107089,,,,,
