51_16_beat1,51_16_beat2,51_15_beat3,51_15_beat4,51_68_beat5,51_68_beat6,51_68_beat7,51_68_beat8,51_84_beat9,51_84_beat10,51_84_beat11,51_14_beat12,51_14_beat13,51_14_beat14,51_19_beat15,51_19_beat16,51_64_beat17,51_64_beat18,51_79_beat19,51_79_beat20,51_79_beat21,51_46_beat22,51_56_beat23,51_56_beat24,51_85_beat25,51_85_beat26,51_85_beat27,51_77_beat28,51_77_beat29,51_77_beat30,51_77_beat31,51_36_beat1,51_36_beat2,51_10_beat3,51_10_beat4
0.044392253429933,0.0183306075580798,-0.0035645037206255,0.0652058038152084,0.0286836323407085,0.1472636611120224,0.0812510136890198,0.0279822449087506,0.0843124848823709,0.0328163825290878,0.0845879173135208,0.0523615378464666,0.0324883262340529,0.0504975249101125,0.1374898650481112,0.057034855380961,0.0075832870347736,-0.0014863405789252,0.1238668213985251,0.0559449974237325,0.1137460965682811,0.0199094250154043,0.0083732490097297,0.0041274803469645,0.3462669554277778,-0.0096356423810362,0.0805422120069676,0.0092249197797779,0.064918360057451,0.0580674191451103,0.0610513303644089,,,,
0.0487948012857837,0.0221729886787041,-0.0017764277012365,0.0741779329411541,0.0362951858703426,0.1672314295157422,0.0911805571192089,0.0296012441524755,0.0874683440002808,0.0402862960816146,0.0872653395211015,0.0527794159339317,0.0402702359855759,0.0533402701311401,0.1406874922918792,0.0669053023417511,0.0121849161015981,0.0019222755211082,0.1297814933688955,0.0641762835810709,0.1175405633758905,0.0209888213618022,0.0097467950851364,0.0058733567996093,0.3491573689892338,-0.0076728822776809,0.0860922242840934,0.0170796764782078,0.0678363162482117,0.0678970978311172,0.0646295165821119,,,,
0.0525271166783333,0.0254449719237718,-0.0001314902908023,0.0822951012364099,0.0429661232759053,0.1851113670954104,0.1003128793801413,0.0306300934767506,0.089175882007417,0.0471507295565651,0.0887902081612519,0.0522802348749218,0.0477595077948477,0.055370433519946,0.1428052606938893,0.076119085300403,0.0164110371651056,0.0044608027087068,0.1349401596418106,0.0715402954364755,0.1197711240443698,0.0211005329564601,0.0109109953853952,0.007294998035463,0.3504157304235855,-0.0059194398239776,0.0903002314065816,0.0244416189991517,0.0697275318179961,0.0771210856891809,0.0670629588104952,,,,
0.0555546918877587,0.0280779675662611,0.0013366043068006,0.0894434065482177,0.0485236208793694,0.2006575644538878,0.108489479372305,0.0310757810950539,0.0894555788583129,0.0532913546137179,0.089175123228871,0.0509318123511427,0.0548061403807459,0.0565726285254334,0.1438030423804717,0.0845107101020538,0.0201795163098449,0.0061108284714743,0.1392643796246132,0.0778657566986934,0.1205010819707138,0.020313778823117,0.0118466325007381,0.0083814819604478,0.3500776410772928,-0.0044157688468341,0.0930912179069711,0.0311808158527806,0.0705928682344361,0.0855731302572737,0.0683521834366528,,,,
0.0578572327635134,0.0300192934615121,0.0025993686735405,0.0955319115729768,0.0528245625450473,0.2136762376012148,0.1155727254656133,0.0309607515669771,0.0883610295267443,0.0586076640257985,0.0884585323544065,0.0488122786029996,0.0612696563472066,0.0569504538035817,0.1436702315337584,0.0919312279268771,0.0234184937814779,0.0068764013590825,0.1426957469232234,0.083010793955206,0.1198183623652674,0.0187144531822255,0.0125398412772098,0.0091308413664048,0.34820950295318,-0.003195228127719,0.0944272044277377,0.0371818197129089,0.070455091374831,0.0931058960839805,0.0685249369754945,,,,
0.0594280956995314,0.0312334284016895,0.003634197245407,0.1004944590085397,0.0557610794551846,0.2240298550835853,0.1214502235039066,0.0303213498013676,0.0859762948806375,0.0630195068694949,0.0867026543443771,0.0460071585409011,0.0670224091857147,0.0565257280500153,0.1424254980152153,0.0982520377837478,0.0260682437594657,0.0067830432745176,0.1451970364810715,0.0868672671821275,0.117832340724635,0.0164012430933356,0.0129823120807228,0.0095497596741726,0.344906447329157,-0.0022833630489811,0.0943079044322712,0.042346820871769,0.0693575109399695,0.09959496079493,0.0676341663252499,,,,
0.060273327695681,0.0317026425667447,0.0044247869396125,0.1042906135674557,0.0572647794690826,0.2316396003632509,0.1260382101880253,0.0292057882057259,0.082412344667286,0.0664689114412315,0.0839907385224709,0.0426064701960534,0.0719524042313757,0.0553372087278133,0.1401153845353173,0.1033677827617125,0.0280826518977732,0.0058760872112271,0.1467525950535773,0.0893637301691595,0.1146701729693992,0.0134816525428967,0.0131713314828768,0.0096529689703515,0.3402892815538696,-0.0016974630196215,0.0927699271033211,0.046598195230268,0.0673620644218055,0.1049419964947947,0.0657553054146363,,,,
0.0604103746147932,0.0314270025022161,0.0049613226539466,0.1069057128524225,0.0573094562314014,0.2364861109047509,0.1292838423695868,0.0276717577370151,0.0778027404676908,0.0689211475154949,0.0804237871301297,0.0387019332030768,0.0759655842646884,0.0534388711547548,0.1368118701389206,0.1071982383925607,0.0294302626457481,0.0042184286651022,0.1473680190775275,0.0904669063764322,0.1104727365096669,0.0100680752060967,0.0131096733948531,0.0094623854381743,0.334500613784199,-0.0014464023881383,0.0898845811598809,0.0498803598094956,0.0645469271697743,0.1090770415590984,0.0629829871503602,,,,
0.0598665325121065,0.0304237778014574,0.0052404476282883,0.1083500513301624,0.0559121412314064,0.2386084864956747,0.1311663071380401,0.0257838133568706,0.0722987274147148,0.0703650130297211,0.0761168765593643,0.0343843675236606,0.0789875551715287,0.0508978328830741,0.1326090640977107,0.1096891545786718,0.0300948668029537,0.0018877981511666,0.1470691879408316,0.0901816354694344,0.1053903076306873,0.006274033974903,0.0128053573768903,0.0090060266845107,0.3277003414570655,-0.0015307595567087,0.0857544118876373,0.0521608802568262,0.0610037412297658,0.1119598090356217,0.0594273164516684,,,,
0.0586772225719039,0.0287263019981362,0.0052650461151781,0.108657262319817,0.0531324417710534,0.2381016111682017,0.1316967345392911,0.023610665744899,0.0660639196272411,0.0708123628073854,0.071195216344863,0.0297413465304317,0.0809647493009719,0.0477920127664953,0.1276192221152193,0.1108120752473203,0.0300756182543496,-0.0010263240827154,0.1459007383066838,0.0885493161724522,0.0995781126500088,0.0022106793430338,0.0122712916194327,0.0083167622291884,0.3200607039397359,-0.0019431970427676,0.0805086789367618,0.0534308071721859,0.0568345642486108,0.1135800185869612,0.0552098513098164,,,,
