60_74_beat1,60_43_beat2,60_43_beat3,60_63_beat4,60_63_beat5,60_63_beat6,60_63_beat7,60_54_beat8,60_77_beat9,60_95_beat10,60_95_beat11,60_95_beat12,60_13_beat13,60_13_beat14,60_92_beat15,60_66_beat16,60_86_beat17,60_86_beat18,60_6_beat1,60_6_beat2,60_53_beat3,60_89_beat4,60_64_beat5,60_44_beat6,60_71_beat7,60_71_beat8,60_80_beat9,60_47_beat10,60_47_beat11,60_84_beat12,60_45_beat13
-0.0042176192486444,0.0687691436028654,0.0869397045584301,0.0816626486035083,0.0358415312542304,0.0345291077990196,-0.0437977261589843,-0.0521576617378635,0.0188342840202947,0.0475121530531247,0.0487104541010506,0.1415240802335533,0.1164615570298317,0.0270332260399432,-0.0104969711981506,0.0283669630084941,0.0442907625345483,0.0913481323616685,,,,,,,,,,,,,
-0.012337952931379,0.0571404381013249,0.0772954985980642,0.0734445132005498,0.0282686980263214,0.0247929630615701,-0.0492312356715652,-0.0601559410814531,0.0108283159806566,0.0353314968704135,0.033060543450327,0.1293872489876655,0.1087832222320542,0.0186339858946392,-0.011321416250474,0.0267610260106631,0.0395125618605776,0.0851190614111136,,,,,,,,,,,,,
-0.0199151283949817,0.0450344046812883,0.0674671690496744,0.0652370521171822,0.0206535166839561,0.0155354909596436,-0.0543229405326925,-0.0680762512653355,0.0028713913404749,0.0236945439044312,0.0178463624473478,0.116719187531214,0.1006498615417279,0.0098424519045882,-0.01214270098216,0.0252465635864449,0.034419484361104,0.0787675471193379,,,,,,,,,,,,,
-0.0268657679097489,0.0326660461056074,0.0576137514607797,0.0571359537692069,0.0131276886402668,0.0068256038835352,-0.0590327305440899,-0.0758415580373654,-0.004933701032529,0.012755901257812,0.0032117834996757,0.1036952485350313,0.0922010749522684,0.000801001106377,-0.0129564985589169,0.0238237483906544,0.0290545234506062,0.0723958860253504,,,,,,,,,,,,,
-0.0331252556340349,0.0202464935725537,0.047879670664731,0.0492254341222126,0.0058109521309583,-0.0012820243105963,-0.0633369036283425,-0.0833887390509959,-0.0125009358834407,0.0026417348665303,-0.0107239692430131,0.090476650635843,0.0835721641810966,-0.0083455964787286,-0.0137589735541664,0.0224888784566516,0.0234608927900172,0.0661002941206448,,,,,,,,,,,,,
-0.0386475381186799,0.0079771835459336,0.0383922726663456,0.0415782966296929,-0.0011920740051166,-0.008745332358986,-0.0672281130401319,-0.0906684849632156,-0.0197619013763615,-0.0065516229486911,-0.0238648830489866,0.0772064361284905,0.0748913594472172,-0.0174530560253371,-0.0145466226029559,0.0212348064850731,0.0176817615199347,0.0599693885851683,,,,,,,,,,,,,
-0.0434044872734512,-0.0039554003398988,0.0292600967477277,0.034256555477705,-0.0077944199937141,-0.015533033249093,-0.0707147828938183,-0.0976447115024423,-0.0266658786677929,-0.0147582321494909,-0.0361358295296001,0.0640064612845105,0.0662775659192972,-0.0263803611952964,-0.0153161220909422,0.0200514616232724,0.0117601437967309,0.0540830344887214,,,,,,,,,,,,,
-0.0473848998342179,-0.0153842570806876,0.0205718843445548,0.0273125348348449,-0.0139286068424826,-0.021622701588073,-0.0738200268587854,-0.1042935433175636,-0.0331791854367402,-0.0219423140143217,-0.0474795701102957,0.0509755127980281,0.0578386511787603,-0.03499240829454,-0.0160641924166639,0.0189264411005373,0.0057389165109026,0.0485115591774199,,,,,,,,,,,,,
-0.0505932128169677,-0.0261655475769999,0.0123962932297655,0.0207903316783741,-0.0195477644077055,-0.0269989207536868,-0.0765801147261444,-0.1106019423020112,-0.0392838432706218,-0.0280972901437115,-0.057853338238372,0.0381885933376855,0.0496702650557383,-0.0431624760979588,-0.0167874871153907,0.0178456479659916,-0.000339071374652,0.0433153197712674,,,,,,,,,,,,,
-0.0530480156531017,-0.0361813431605412,0.0047822607162902,0.0147275110031309,-0.0246260150925035,-0.0316516133448266,-0.0790425392706981,-0.1165660610174256,-0.044975651087608,-0.0332441623745246,-0.067225250857632,0.025697368079423,0.041855155868648,-0.0507744943058828,-0.0174825136065088,0.016793951012459,-0.0064308422380459,0.0385445934558894,,,,,,,,,,,,,
-0.0547804366219347,-0.0453414045891793,-0.002240060859906,0.0091568911304036,-0.0291581356711032,-0.0355746619093797,-0.0812637418526228,-0.1221894053561382,-0.0502617655962338,-0.0374293120528362,-0.0755707971924521,0.0135317146004647,0.0344629245635971,-0.0577250906175108,-0.0181455904914357,0.0157558436424442,-0.0124931343991672,0.0342397467547753,,,,,,,,,,,,,
-0.0558324740538046,-0.0535839923553749,-0.0086578885199271,0.0041082741828556,-0.033158530274124,-0.0387649050739954,-0.0833065597590116,-0.1274808896995566,-0.0551579054237047,-0.0407218011236897,-0.0828696361320085,0.0017022726387695,0.0275501421727867,-0.063925402152435,-0.0187728442052488,0.0147160798271198,-0.0184822954405054,0.030431629385758,,,,,,,,,,,,,
-0.0562553322200143,-0.0608757458690223,-0.0144740152344251,-0.0003900172986535,-0.0366595649941133,-0.0412215677052814,-0.0852374615181393,-0.1324528630885994,-0.0596853079873797,-0.0432102585521994,-0.0891029056406763,-0.0097961503336116,0.02116074730807,-0.0693026411513566,-0.0193602455536632,0.0136602673192573,-0.0243542647867753,0.0271421312918209,,,,,,,,,,,,,
-0.0561078089571784,-0.0672107017475821,-0.019704746241459,-0.0043099227071042,-0.0397093290632828,-0.0429461534161658,-0.0871236386328018,-0.1371191771743188,-0.0638675769730052,-0.0449994343814167,-0.0942512102909745,-0.0209804956118625,0.0153266391572031,-0.0738014069911046,-0.0199036844319838,0.012575400776818,-0.0300646726133184,0.0243848386003443,,,,,,,,,,,,,
-0.0554547681754063,-0.0726085488381722,-0.0243776729331134,-0.0076228489997163,-0.0423688996943686,-0.0439427948309768,-0.08903002393592,-0.1414933568650895,-0.0677275627192588,-0.0462065009289774,-0.098293408300226,-0.0318748957059431,0.0100683869646576,-0.0773847360179224,-0.0203990789243938,0.0114503202368207,-0.0355690638977362,0.0221657259903261,,,,,,,,,,,,,
-0.0543657165471817,-0.0771122384750246,-0.0285293878075443,-0.010299377601799,-0.0447091980260773,-0.0442190232986606,-0.0910163086646354,-0.1455869235488253,-0.0712844172734653,-0.0469571769065393,-0.1012062696644484,-0.0425058637540448,0.0053959879729061,-0.080034877587134,-0.0208425130354439,0.010276083218762,-0.0408232379949628,0.0204838291888049,,,,,,,,,,,,,
-0.052913490612201,-0.0807850819042659,-0.0322032352271101,-0.0123095200637072,-0.046807532486588,-0.0437868873943834,-0.0931340326942733,-0.1494079096850887,-0.074550960056597,-0.0473817463467205,-0.1029650242865484,-0.0528974584223943,0.0013096206771877,-0.0817537798917949,-0.0212303955656883,0.0090462415256389,-0.0457836812950814,0.0193318515489877,,,,,,,,,,,,,
-0.0511730488550508,-0.0837074724563703,-0.0354471801519151,-0.013623536332368,-0.0487439332543704,-0.0426643209957423,-0.0954238251200931,-0.1529595938383625,-0.0775314790088429,-0.0476110408259234,-0.1035447653331214,-0.063066650344199,-0.0021996426143298,-0.0825632640641564,-0.0215596312803472,0.0077570166597519,-0.0504080665883171,0.0186966719811339,,,,,,,,,,,,,
-0.0492203536590958,-0.0859733682616699,-0.0383118615225779,-0.0142132937517387,-0.0505973870359454,-0.0408766392700224,-0.0979128751654337,-0.1562394781075769,-0.0802200760745404,-0.0477724510834532,-0.1029226204964202,-0.0730191042376332,-0.0051491820190966,-0.0825048610130338,-0.0218277947404582,0.0064073709007598,-0.0546557965703304,0.0185597367942724,,,,,,,,,,,,,
-0.0471313211331106,-0.0876866629859186,-0.0408488795110751,-0.0140541081665017,-0.0524420847142337,-0.0384580263805235,-0.1006127156154526,-0.1592385258961532,-0.0825996452515736,-0.0479860330333757,-0.101080554858153,-0.0827455708116029,-0.0075642359387205,-0.0816392836276348,-0.0220332970782612,0.0049989746335107,-0.0584885766046173,0.0188973340256284,,,,,,,,,,,,,
-0.0449808133281246,-0.088957558579001,-0.0431093473590633,-0.0131269723587819,-0.0543437953640236,-0.035452873173728,-0.1035174018621531,-0.1619406765517884,-0.0846415465093261,-0.0483607733722228,-0.0980086264283414,-0.0922190561520359,-0.0094773520177136,-0.0800455082205154,-0.0221755365679727,0.0035360743677712,-0.0618710096221361,0.0196807642537861,,,,,,,,,,,,,
-0.0428416477565175,-0.0898990371299484,-0.0451427199335245,-0.0114210435443356,-0.0563564787614078,-0.0319168268506637,-0.1066021684759746,-0.1643226533076496,-0.0863060102126322,-0.048991081313794,-0.0937084819109979,-0.1013929052183641,-0.0109278565021173,-0.0778194440886562,-0.0222550249337189,0.0020252697317465,-0.0647712114791883,0.020876435363986,,,,,,,,,,,,,
-0.0407836033735322,-0.0906235104842875,-0.0469958935568064,-0.0089362330542411,-0.0585192450771353,-0.0279174274306892,-0.1098226413940502,-0.1663540806871153,-0.0875432752109158,-0.0499535751331732,-0.0881968581914674,-0.1101999018354753,-0.0119613072642051,-0.0750721792053227,-0.0222734827673149,0.0004752111145232,-0.0671614471699051,0.0224459191211031,,,,,,,,,,,,,
-0.0388724096795377,-0.0912397080035976,-0.048712556332499,-0.0056857200754814,-0.0608537651831109,-0.0235342271178747,-0.1131146767542894,-0.1679979259405431,-0.0882954307604164,-0.0513042347988165,-0.0815088462724019,-0.1185524511038811,-0.012628892459648,-0.0719278031671286,-0.0222338990446001,-0.0011037677518398,-0.0690187869458824,0.0243460139916592,,,,,,,,,,,,,
-0.0371687153608699,-0.0918498460875997,-0.050332756226269,-0.0016982002145994,-0.0633622279337386,-0.018858317547171,-0.1163948864453248,-0.1692112755748509,-0.0884988993724422,-0.0530759944390862,-0.073700680157568,-0.126343871879964,-0.0129867382850921,-0.0685208249110558,-0.022140551435909,-0.0027000662679009,-0.0703257771549052,0.0265288611318865,,,,,,,,,,,,,
-0.035727043899616,-0.0925471087753936,-0.0518926463043754,0.0029803185406901,-0.0660259315615302,-0.0139912249110614,-0.1195618949829227,-0.1699464523875804,-0.088087465880167,-0.0552768498854483,-0.064851833945125,-0.1334507871121193,-0.0130950951498357,-0.0649932212817983,-0.0219989858077079,-0.0043012656332245,-0.0710711142102005,0.0289421587351004,,,,,,,,,,,,,
-0.0345947549451258,-0.0934134573075877,-0.0534243628829501,0.0082853434742974,-0.0688045843660619,-0.0090431721988675,-0.1224983521373102,-0.170152470355082,-0.0869957288246107,-0.0578885561323779,-0.055066245412332,-0.1397365589020619,-0.0130173809246804,-0.0614911719332084,-0.0218159548538924,-0.0058945926286387,-0.071250302404294,0.0315295140584502,,,,,,,,,,,,,
-0.0338110410087292,-0.0945177778458296,-0.0549559925452162,0.0141334886740093,-0.0716363746487397,-0.0041307486904411,-0.125073701137056,-0.1697768137631244,-0.0851628251278378,-0.0608659865029545,-0.0444725316172496,-0.1450556742039257,-0.0128190718266108,-0.0581615548526675,-0.0215993170264332,-0.0074673816426897,-0.0708662683723877,0.034230962769342,,,,,,,,,,,,,
-0.0334059981741015,-0.0959143702093767,-0.0565115876214403,0.0204229278264977,-0.0744388510623797,0.0006259335774792,-0.1271476739753048,-0.1687675127369982,-0.0825362594559172,-0.0641372190312046,-0.0332231184701818,-0.1492589472270805,-0.0125664450860096,-0.0551482936245212,-0.0213578978000227,-0.0090075185528138,-0.06992989814879,0.0369836725847413,,,,,,,,,,,,,
